,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,5.0,2.5,8.0,0.6,0.0,240.0,23.0,63.4,,0.0
1,2015-01-03,4.2,3.1,5.7,0.3,0.0,252.9,22.3,54.7,,0.0
2,2015-01-04,3.1,0.6,5.0,0.3,0.0,295.8,20.2,59.8,,72.0
3,2015-01-05,2.2,-0.1,3.6,6.4,0.0,290.0,14.8,56.9,,0.0
4,2015-01-06,-1.0,-1.9,0.0,0.0,0.0,159.6,11.9,30.2,,0.0
5,2015-01-07,1.0,-1.8,3.6,0.7,0.0,205.8,11.5,29.9,,0.0
6,2015-01-08,3.0,0.2,6.5,8.1,0.0,216.3,16.6,49.3,,0.0
7,2015-01-09,6.1,4.2,8.5,11.0,0.0,257.9,25.6,73.1,,0.0
8,2015-01-10,8.4,5.0,12.8,3.6,0.0,253.3,24.8,86.4,,0.0
9,2015-01-11,3.7,1.1,5.1,1.1,0.0,260.0,27.0,60.1,,6.0
10,2015-01-12,5.2,1.0,8.0,2.6,0.0,238.3,20.5,48.6,,0.0
11,2015-01-13,9.9,7.8,12.2,1.7,0.0,219.2,21.6,52.2,,234.0
12,2015-01-14,5.9,3.1,7.9,1.0,0.0,224.2,16.6,53.6,,180.0
13,2015-01-15,4.2,-0.3,9.2,1.6,0.0,192.5,20.2,47.2,,0.0
14,2015-01-16,7.2,4.2,9.2,9.1,0.0,195.8,12.2,47.5,,30.0
15,2015-01-17,2.6,-2.3,4.5,0.1,0.0,245.8,7.2,26.6,,18.0
16,2015-01-18,-0.9,-4.1,3.4,0.0,0.0,184.2,8.6,23.8,,324.0
17,2015-01-19,-0.7,-3.8,1.2,0.0,0.0,142.1,7.9,22.0,,0.0
18,2015-01-20,0.9,0.1,2.4,2.1,0.0,162.9,6.8,22.0,,0.0
19,2015-01-21,0.4,-1.5,1.5,0.0,0.0,215.4,5.8,20.2,,0.0
20,2015-01-22,-0.7,-2.3,0.1,0.0,0.0,39.6,11.9,27.0,,0.0
21,2015-01-23,-0.8,-2.1,0.0,0.0,0.0,164.6,9.4,25.6,,0.0
22,2015-01-24,-1.2,-2.6,0.0,0.0,0.0,192.9,9.7,27.7,,0.0
23,2015-01-25,0.6,-0.6,1.4,0.1,0.0,278.3,9.0,25.9,,0.0
24,2015-01-26,1.6,0.1,3.7,4.2,0.0,191.3,13.0,31.3,,0.0
25,2015-01-27,3.1,0.9,4.3,0.4,0.0,281.3,13.0,36.0,,0.0
26,2015-01-28,2.8,0.1,5.0,5.9,0.0,225.0,18.4,58.0,,42.0
27,2015-01-29,1.8,-0.2,3.9,0.9,0.0,206.7,19.4,52.9,,216.0
28,2015-01-30,0.6,-0.3,1.8,1.8,10.0,178.3,13.7,31.3,,0.0
29,2015-01-31,0.1,-0.7,0.9,0.5,20.0,239.6,11.2,34.9,,60.0
30,2015-02-01,0.6,-1.8,3.8,0.0,10.0,224.6,11.5,28.4,,174.0
31,2015-02-02,0.7,-1.3,2.5,1.8,0.0,232.5,12.6,46.8,,24.0
32,2015-02-03,-0.6,-3.1,1.0,1.7,50.0,265.8,7.9,24.8,,48.0
33,2015-02-04,-1.5,-2.9,-0.4,0.0,50.0,278.3,6.8,19.8,,0.0
34,2015-02-05,-3.2,-5.2,0.3,0.0,40.0,95.8,6.5,21.2,,210.0
35,2015-02-06,-4.3,-5.8,-3.0,0.0,30.0,116.3,9.0,24.8,,0.0
36,2015-02-07,-1.3,-5.3,3.6,0.2,20.0,260.4,16.9,49.0,,0.0
37,2015-02-08,1.2,-0.8,3.0,0.3,0.0,319.2,25.6,65.2,,456.0
38,2015-02-09,3.6,-0.1,5.3,0.5,0.0,288.3,16.2,39.2,,0.0
39,2015-02-10,4.8,4.3,5.3,0.0,0.0,288.3,13.0,34.9,,0.0
40,2015-02-11,4.3,2.7,5.4,0.0,0.0,259.6,7.6,20.9,,0.0
41,2015-02-12,1.9,-3.0,6.5,0.0,0.0,180.4,7.9,23.0,,522.0
42,2015-02-13,0.0,-4.0,6.0,0.0,0.0,179.6,9.4,24.8,,480.0
43,2015-02-14,-0.1,-4.7,5.7,0.0,0.0,141.7,7.2,21.6,,528.0
44,2015-02-15,1.1,-4.1,8.2,0.0,0.0,55.4,10.4,35.6,,492.0
45,2015-02-16,-0.1,-1.7,0.8,0.0,0.0,110.0,19.1,41.0,,0.0
46,2015-02-17,1.2,-2.9,6.4,0.0,0.0,175.4,10.8,24.1,,528.0
47,2015-02-18,3.0,0.4,7.1,0.0,0.0,247.5,10.4,27.0,,420.0
48,2015-02-19,2.3,-0.8,7.6,0.0,0.0,210.0,11.2,28.1,,444.0
49,2015-02-20,2.4,-3.8,9.1,0.0,0.0,196.7,14.0,37.8,,300.0
50,2015-02-21,5.0,0.6,11.0,0.0,0.0,198.3,16.9,52.6,,330.0
51,2015-02-22,1.1,-2.2,4.1,0.0,0.0,216.3,8.3,25.9,,6.0
52,2015-02-23,2.0,-2.9,7.2,0.7,0.0,185.8,15.1,42.1,,24.0
53,2015-02-24,3.5,-0.4,8.7,0.0,0.0,202.5,10.8,33.1,,408.0
54,2015-02-25,1.9,-3.2,7.9,0.0,0.0,208.3,6.1,18.7,,300.0
55,2015-02-26,1.6,-5.3,9.0,0.0,0.0,172.5,7.2,23.0,,588.0
56,2015-02-27,3.1,-1.6,10.1,0.0,0.0,156.7,10.4,27.7,,450.0
57,2015-02-28,2.7,-2.0,7.1,0.0,0.0,242.9,10.1,31.0,,282.0
58,2015-03-01,2.5,-2.2,6.0,3.5,0.0,185.8,15.8,50.4,,12.0
59,2015-03-02,4.3,1.6,6.9,3.6,0.0,222.5,16.9,62.6,,78.0
60,2015-03-03,4.1,0.6,7.4,1.5,0.0,245.8,19.4,51.1,,300.0
61,2015-03-04,3.2,0.4,6.5,2.8,0.0,244.6,14.4,41.4,,132.0
62,2015-03-05,2.6,-2.0,5.6,0.7,0.0,268.3,9.7,36.0,,120.0
63,2015-03-06,3.0,-2.9,7.2,0.1,0.0,212.1,8.3,24.8,,0.0
64,2015-03-07,7.2,1.9,11.9,0.0,0.0,212.5,14.0,41.0,,480.0
65,2015-03-08,9.7,4.3,16.3,0.0,0.0,190.8,12.2,30.6,,378.0
66,2015-03-09,8.4,1.1,12.3,0.0,0.0,195.4,9.0,23.8,,414.0
67,2015-03-10,6.2,0.5,12.2,0.7,0.0,231.7,9.4,25.2,,294.0
68,2015-03-11,3.7,0.7,7.0,1.9,0.0,284.2,9.0,28.1,,12.0
69,2015-03-12,2.7,-0.6,5.8,0.0,0.0,213.8,9.7,29.9,,66.0
70,2015-03-13,2.5,-2.1,6.6,0.3,0.0,117.5,9.0,24.1,,102.0
71,2015-03-14,4.0,2.3,5.6,1.7,0.0,93.3,10.1,27.7,,0.0
72,2015-03-15,5.7,3.7,7.8,0.0,0.0,81.7,14.8,31.7,,0.0
73,2015-03-16,6.8,2.2,10.7,0.0,0.0,87.9,16.9,44.6,,234.0
74,2015-03-17,10.3,4.5,16.5,0.0,0.0,114.2,16.9,44.6,,630.0
75,2015-03-18,7.3,-0.1,13.3,0.0,0.0,95.8,13.3,39.2,,678.0
76,2015-03-19,4.2,-2.1,12.2,0.0,0.0,115.4,7.2,27.7,,654.0
77,2015-03-20,4.5,-4.3,12.3,0.0,0.0,221.3,5.8,24.1,,558.0
78,2015-03-21,2.6,-2.6,6.7,4.6,0.0,246.3,9.7,43.6,,0.0
79,2015-03-22,0.1,-2.9,4.1,0.0,0.0,78.8,11.9,36.4,,702.0
80,2015-03-23,3.8,-2.7,11.4,0.0,0.0,181.7,9.0,28.8,,654.0
81,2015-03-24,6.9,-1.2,13.9,0.0,0.0,187.5,6.5,23.4,,330.0
