,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,2.5,,230.8,22.4,,,
1,2015-01-03,,,,11.6,,230.8,16.0,,,
2,2015-01-04,,,,3.0,,274.6,11.6,,,
3,2015-01-05,,,,0.0,,237.9,10.5,,,
4,2015-01-06,,,,0.0,,171.7,3.7,,,
5,2015-01-07,,,,0.4,,215.4,8.4,,,
6,2015-01-08,,,,0.4,,232.9,19.3,,,
7,2015-01-09,,,,6.3,,235.4,26.8,,,
8,2015-01-10,,,,2.4,,239.6,35.6,,,
9,2015-01-11,,,,5.9,,263.3,22.5,,,
10,2015-01-12,,,,0.0,,235.4,26.4,,,
11,2015-01-13,,,,0.0,,224.2,11.5,,,
12,2015-01-14,,,,3.3,,233.8,17.1,,,
13,2015-01-15,,,,0.0,,227.1,4.5,,,
14,2015-01-16,,,,0.0,,133.8,5.8,,,
15,2015-01-17,,,,7.6,,226.3,8.1,,,
16,2015-01-18,,,,0.0,,210.0,4.8,,,
17,2015-01-19,,,,0.0,,182.9,7.5,,,
18,2015-01-20,,,,2.6,,210.4,4.2,,,
19,2015-01-21,,,,0.0,,80.0,13.6,,,
20,2015-01-22,,,,0.0,,177.5,9.1,,,
21,2015-01-23,,,,0.6,,298.3,6.5,,,
22,2015-01-24,,,,0.0,,253.3,6.3,,,
23,2015-01-25,,,,1.1,,275.8,8.4,,,
24,2015-01-26,,,,1.3,,226.7,14.9,,,
25,2015-01-27,,,,2.1,,262.1,13.0,,,
26,2015-01-28,,,,0.0,,228.8,19.0,,,
27,2015-01-29,,,,3.4,,223.8,18.7,,,
28,2015-01-30,,,,9.5,,229.6,20.6,,,
29,2015-01-31,,,,0.5,,224.2,11.2,,,
30,2015-02-01,,,,3.0,,227.9,11.7,,,
31,2015-02-02,,,,2.1,,245.0,13.5,,,
32,2015-02-03,,,,0.0,,205.0,5.0,,,
33,2015-02-04,,,,0.0,,126.7,7.2,,,
34,2015-02-05,,,,0.0,,43.8,20.9,,,
35,2015-02-06,,,,0.0,,52.5,26.2,,,
36,2015-02-07,,,,0.0,,91.7,13.7,,,
37,2015-02-08,,,,1.2,,276.3,13.4,,,
38,2015-02-09,,,,0.0,,236.7,18.2,,,
39,2015-02-10,,,,0.0,,168.8,7.5,,,
40,2015-02-11,,,,0.0,,95.0,7.6,,,
41,2015-02-12,,,,0.1,,187.1,5.7,,,
42,2015-02-13,,,,0.2,,129.2,6.0,,,
43,2015-02-14,,,,0.0,,77.9,8.3,,,
44,2015-02-15,,,,0.0,,84.6,8.7,,,
45,2015-02-16,,,,0.0,,139.6,5.8,,,
46,2015-02-17,,,,0.0,,252.9,6.0,,,
47,2015-02-18,,,,0.0,,128.3,7.7,,,
48,2015-02-19,,,,0.0,,189.2,7.7,,,
49,2015-02-20,,,,0.0,,195.8,7.3,,,
50,2015-02-21,,,,4.2,,224.6,4.7,,,
