,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2016-07-01,20.7,14.4,26.8,0.9,,,,,,601.0
1,2016-07-02,17.3,12.5,20.6,0.0,,,,,,6.0
2,2016-07-03,17.3,10.9,23.4,0.0,,,,,,559.0
3,2016-07-04,19.3,11.3,26.2,0.0,,,,,,864.0
4,2016-07-05,20.5,13.2,27.0,0.0,,,,,,684.0
5,2016-07-06,19.8,13.5,25.2,0.0,,,,,,696.0
6,2016-07-07,19.9,11.1,27.9,0.0,,,,,,795.0
7,2016-07-08,21.8,13.5,29.7,0.0,,,,,,564.0
8,2016-07-09,23.0,16.1,29.6,0.0,,,,,,818.0
9,2016-07-10,24.2,14.5,33.1,0.0,,,,,,852.0
10,2016-07-11,22.6,18.2,27.7,4.0,,,,,,316.0
11,2016-07-12,18.2,13.4,20.8,7.7,,,,,,25.0
12,2016-07-13,14.6,12.0,17.7,2.2,,,,,,247.0
13,2016-07-14,13.5,9.6,18.0,2.5,,,,,,242.0
14,2016-07-15,14.7,9.1,20.7,0.0,,,,,,329.0
15,2016-07-16,16.2,7.0,23.6,0.0,,,,,,752.0
16,2016-07-17,20.2,10.5,28.7,0.0,,,,,,873.0
17,2016-07-18,22.8,13.7,30.6,0.0,,,,,,863.0
18,2016-07-19,24.0,15.1,33.0,0.0,,,,,,869.0
19,2016-07-20,24.9,15.5,34.6,1.5,,,,,,779.0
20,2016-07-21,24.4,19.1,30.6,0.0,,,,,,529.0
21,2016-07-22,20.8,16.6,26.5,14.1,,,,,,143.0
22,2016-07-23,21.0,15.6,26.8,0.0,,,,,,236.0
23,2016-07-24,22.1,16.4,27.6,0.0,,,,,,575.0
24,2016-07-25,22.8,16.5,28.1,0.0,,,,,,685.0
25,2016-07-26,23.7,17.8,29.7,0.0,,,,,,731.0
26,2016-07-27,22.1,17.0,28.3,0.0,,,,,,521.0
27,2016-07-28,20.5,13.9,25.6,0.0,,,,,,406.0
28,2016-07-29,22.0,16.3,27.9,0.0,,,,,,669.0
29,2016-07-30,22.8,15.0,29.9,0.1,,,,,,600.0
30,2016-07-31,19.1,15.6,22.6,13.4,,,,,,7.0
31,2016-08-01,18.9,13.1,25.3,0.0,,,,,,642.0
32,2016-08-02,18.6,13.5,25.4,1.3,,,,,,94.0
33,2016-08-03,20.8,14.7,28.7,0.0,,,,,,526.0
34,2016-08-04,19.4,12.5,28.8,17.1,,,,,,416.0
35,2016-08-05,16.3,13.5,20.2,3.1,,,,,,112.0
36,2016-08-06,17.9,12.0,25.1,0.0,,,,,,671.0
37,2016-08-07,19.2,11.1,26.7,0.0,,,,,,811.0
