,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2017-03-23,7.7,6.0,11.0,,,,12.9,,,
1,2017-03-24,6.6,3.0,10.0,,,75.0,15.7,,,
2,2017-03-25,7.7,2.0,14.0,,,,17.8,,,
3,2017-03-27,8.1,-1.0,17.0,,,100.4,13.7,,,
4,2019-11-24,4.0,1.0,7.0,,,,5.0,,,
5,2019-11-25,4.5,1.0,6.0,,,,4.0,,,
6,2019-11-27,8.6,5.0,12.0,,,,11.5,,,
7,2019-11-28,8.9,8.0,10.0,,,227.9,18.2,,,
8,2019-11-30,2.0,-3.0,5.0,,,,7.3,,,
9,2019-12-03,0.7,-3.0,5.0,,,,5.8,,,
10,2019-12-04,-1.0,-4.0,4.0,,,91.3,9.9,,,
11,2019-12-05,-2.0,-6.0,4.0,,,,4.7,,,
12,2019-12-06,0.5,-6.0,8.0,,,,5.9,,,
13,2019-12-07,6.7,6.0,8.0,,,238.3,18.8,,,
14,2019-12-08,8.0,6.0,10.0,,,229.6,18.7,,,
15,2019-12-09,5.9,4.0,7.0,,,242.9,18.0,,,
16,2019-12-10,1.7,-3.0,4.0,,,,9.6,,,
17,2019-12-11,0.1,-2.0,2.0,,,,7.0,,,
18,2019-12-12,1.8,-1.0,3.0,,,,9.1,,,
19,2019-12-13,2.0,0.0,5.0,,,193.3,20.6,,,
20,2019-12-14,5.5,3.0,8.0,,,237.1,25.8,,,
21,2019-12-15,8.2,3.0,12.0,,,,16.3,,,
22,2019-12-16,7.8,4.0,14.0,,,,7.3,,,
23,2019-12-18,7.3,4.0,11.0,,,,7.3,,,
24,2019-12-20,4.7,0.0,8.0,,,,11.2,,,
25,2019-12-22,5.9,2.0,8.0,,,,13.9,,,
26,2019-12-23,6.1,5.0,7.0,,,259.6,23.3,,,
27,2019-12-24,5.9,4.0,8.0,,,233.3,18.1,,,
28,2019-12-25,6.2,4.0,8.0,,,268.3,20.4,,,
29,2019-12-26,3.0,2.0,4.0,,,,5.1,,,
30,2019-12-28,-0.9,-3.0,2.0,,,90.8,9.3,,,
31,2019-12-29,-2.7,-6.0,2.0,,,,8.4,,,
32,2019-12-30,-0.9,-6.0,6.0,,,,4.7,,,
33,2019-12-31,0.4,-4.0,4.0,,,,5.3,,,
34,2020-01-02,-1.8,-5.0,1.0,,,,4.1,,,
35,2020-01-03,3.9,-1.0,7.0,,,,11.3,,,
36,2020-01-04,4.2,3.0,7.0,,,270.4,19.1,,,
37,2020-01-06,-0.8,-5.0,5.0,,,,4.4,,,
38,2020-01-07,2.5,-3.0,5.0,,,,9.9,,,
39,2020-01-08,3.1,-1.0,7.0,,,,5.0,,,
40,2020-01-09,9.3,6.0,13.0,,,,5.7,,,
41,2020-01-10,7.8,5.0,10.0,,,238.8,14.8,,,
42,2020-01-14,9.3,7.0,10.0,,,,,,1016.1,
43,2020-01-15,7.3,1.0,13.0,,,200.0,7.7,,1019.0,
44,2020-01-16,8.1,3.0,12.0,,,104.8,6.8,,1026.6,
45,2020-01-17,3.9,-2.0,11.0,,,178.4,7.3,,1020.1,
46,2020-01-18,4.1,2.0,7.0,,,250.0,12.9,,1025.3,
47,2020-01-19,1.4,0.0,3.0,,,,6.1,,1034.0,
48,2020-01-20,0.7,-3.0,4.0,,,96.0,9.8,,1043.1,
49,2020-01-21,-2.1,-4.0,-1.0,,,98.2,10.1,,1039.5,
50,2020-01-22,-2.8,-4.0,0.0,,,,8.0,,1034.0,
