,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-03-22,,,,0.0,,,,,,
1,2015-03-23,,,,0.0,,,,,,
2,2015-03-24,,,,0.0,,,,,,
3,2015-03-25,,,,0.4,,,,,,
4,2015-03-26,,,,2.8,,,,,,
5,2015-03-27,,,,5.1,,,,,,
6,2015-03-28,,,,0.3,,,,,,
7,2015-03-30,,,,39.1,,,,,,
8,2015-03-31,,,,17.6,,,,,,
9,2015-04-01,,,,14.6,,,,,,
10,2015-04-02,,,,35.4,,,,,,
11,2015-04-03,,,,0.0,,,,,,
12,2015-04-04,,,,8.9,,,,,,
13,2015-04-05,,,,0.0,,,,,,
14,2015-04-06,,,,0.0,,,,,,
15,2015-04-07,,,,0.0,,,,,,
16,2015-04-08,,,,0.0,,,,,,
17,2015-04-09,,,,0.0,,,,,,
18,2015-04-10,,,,0.0,,,,,,
19,2015-04-11,,,,0.1,,,,,,
20,2015-04-12,,,,0.0,,,,,,
21,2015-04-13,,,,0.0,,,,,,
22,2015-04-14,,,,0.0,,,,,,
23,2015-04-15,,,,0.0,,,,,,
24,2015-04-16,,,,0.0,,,,,,
25,2015-04-17,,,,16.8,,,,,,
26,2015-04-18,,,,0.0,,,,,,
27,2015-04-19,,,,0.0,,,,,,
28,2015-04-20,,,,0.0,,,,,,
29,2015-04-21,,,,0.0,,,,,,
30,2015-04-22,,,,0.0,,,,,,
31,2015-04-23,,,,0.0,,,,,,
32,2015-04-24,,,,0.0,,,,,,
33,2015-04-25,,,,2.8,,,,,,
34,2015-04-26,,,,0.2,,,,,,
35,2015-04-27,,,,7.9,,,,,,
36,2015-04-28,,,,1.9,,,,,,
37,2015-04-29,,,,0.0,,,,,,
38,2015-04-30,,,,6.4,,,,,,
39,2015-05-01,,,,40.2,,,,,,
40,2015-05-02,,,,2.5,,,,,,
41,2015-05-03,,,,33.5,,,,,,
42,2015-05-04,,,,0.0,,,,,,
43,2015-05-05,,,,0.0,,,,,,
44,2015-05-06,,,,0.0,,,,,,
45,2015-05-07,,,,0.0,,,,,,
46,2015-05-08,,,,0.0,,,,,,
47,2015-05-09,,,,0.9,,,,,,
48,2015-05-10,,,,0.0,,,,,,
49,2015-05-11,,,,0.0,,,,,,
50,2015-05-12,,,,0.0,,,,,,
51,2015-05-13,,,,0.5,,,,,,
52,2015-05-14,,,,6.6,,,,,,
53,2015-05-15,,,,16.1,,,,,,
54,2015-05-16,,,,0.0,,,,,,
55,2015-05-17,,,,0.8,,,,,,
56,2015-05-18,,,,0.0,,,,,,
57,2015-05-19,,,,0.0,,,,,,
58,2015-05-20,,,,2.5,,,,,,
59,2015-05-21,,,,0.0,,,,,,
60,2015-05-22,,,,0.0,,,,,,
61,2015-05-23,,,,0.0,,,,,,
62,2015-05-24,,,,0.0,,,,,,
63,2015-05-25,,,,2.0,,,,,,
64,2015-05-26,,,,2.2,,,,,,
65,2015-05-27,,,,0.0,,,,,,
66,2015-05-28,,,,0.0,,,,,,
67,2015-05-29,,,,0.1,,,,,,
68,2015-05-30,,,,0.3,,,,,,
69,2015-05-31,,,,0.0,,,,,,
70,2015-06-01,,,,0.7,,,,,,
71,2015-06-02,,,,0.0,,,,,,
72,2015-06-03,,,,0.0,,,,,,
73,2015-06-04,,,,0.0,,,,,,
74,2015-06-05,,,,0.0,,,,,,
75,2015-06-06,,,,1.6,,,,,,
76,2015-06-07,,,,4.3,,,,,,
77,2015-06-08,,,,33.0,,,,,,
78,2015-06-09,,,,0.0,,,,,,
79,2015-06-10,,,,0.0,,,,,,
80,2015-06-11,,,,0.9,,,,,,
81,2015-06-12,,,,2.8,,,,,,
82,2015-06-13,,,,0.0,,,,,,
83,2015-06-14,,,,0.0,,,,,,
84,2015-06-15,,,,5.6,,,,,,
85,2015-06-16,,,,4.9,,,,,,
86,2015-06-17,,,,0.0,,,,,,
87,2015-06-18,,,,21.6,,,,,,
88,2015-06-19,,,,0.1,,,,,,
89,2015-06-20,,,,2.0,,,,,,
90,2015-06-21,,,,16.7,,,,,,
91,2015-06-22,,,,6.5,,,,,,
92,2015-06-23,,,,9.4,,,,,,
93,2015-06-24,,,,0.0,,,,,,
94,2015-06-25,,,,0.0,,,,,,
95,2015-06-26,,,,0.0,,,,,,
96,2015-06-27,,,,2.7,,,,,,
97,2015-06-28,,,,0.0,,,,,,
98,2015-06-29,,,,0.0,,,,,,
99,2015-06-30,,,,0.0,,,,,,
100,2015-07-01,,,,0.0,,,,,,
101,2015-07-02,,,,0.0,,,,,,
102,2015-07-03,,,,0.0,,,,,,
103,2015-07-04,,,,0.0,,,,,,
104,2015-07-05,,,,0.0,,,,,,
105,2015-07-06,,,,2.1,,,,,,
106,2015-07-07,,,,0.0,,,,,,
107,2015-07-08,,,,5.4,,,,,,
108,2015-07-09,,,,0.6,,,,,,
109,2015-07-10,,,,0.0,,,,,,
110,2015-07-11,,,,0.0,,,,,,
111,2015-07-12,,,,0.0,,,,,,
112,2015-07-13,,,,0.0,,,,,,
113,2015-07-14,,,,0.0,,,,,,
114,2015-07-15,,,,0.0,,,,,,
115,2015-07-16,,,,0.0,,,,,,
116,2015-07-17,,,,0.0,,,,,,
117,2015-07-18,,,,3.1,,,,,,
118,2015-07-19,,,,6.0,,,,,,
119,2015-07-20,,,,0.0,,,,,,
120,2015-07-21,,,,0.0,,,,,,
121,2015-07-22,,,,0.2,,,,,,
122,2015-07-23,,,,6.7,,,,,,
123,2015-07-24,,,,0.0,,,,,,
124,2015-07-25,,,,12.2,,,,,,
125,2015-07-26,,,,0.6,,,,,,
126,2015-07-27,,,,9.0,,,,,,
127,2015-07-28,,,,0.7,,,,,,
128,2015-07-29,,,,1.6,,,,,,
129,2015-07-30,,,,0.0,,,,,,
130,2015-07-31,,,,0.0,,,,,,
131,2015-08-01,,,,0.1,,,,,,
132,2015-08-02,,,,0.0,,,,,,
133,2015-08-03,,,,0.0,,,,,,
134,2015-08-04,,,,5.7,,,,,,
135,2015-08-05,,,,0.0,,,,,,
136,2015-08-06,,,,0.0,,,,,,
137,2015-08-07,,,,0.0,,,,,,
138,2015-08-08,,,,0.0,,,,,,
139,2015-08-09,,,,1.6,,,,,,
140,2015-08-10,,,,1.7,,,,,,
141,2015-08-11,,,,0.0,,,,,,
142,2015-08-12,,,,0.0,,,,,,
143,2015-08-13,,,,0.0,,,,,,
144,2015-08-14,,,,19.4,,,,,,
145,2015-08-15,,,,0.3,,,,,,
146,2015-08-16,,,,2.8,,,,,,
147,2015-08-17,,,,0.0,,,,,,
148,2015-08-18,,,,0.0,,,,,,
149,2015-08-19,,,,0.0,,,,,,
150,2015-08-20,,,,0.0,,,,,,
151,2015-08-21,,,,0.0,,,,,,
152,2015-08-22,,,,0.0,,,,,,
153,2015-08-23,,,,16.4,,,,,,
154,2015-08-24,,,,17.3,,,,,,
155,2015-08-25,,,,0.0,,,,,,
156,2015-08-26,,,,0.0,,,,,,
157,2015-08-27,,,,0.0,,,,,,
158,2015-08-28,,,,0.1,,,,,,
159,2015-08-29,,,,0.0,,,,,,
160,2015-08-30,,,,0.0,,,,,,
161,2015-08-31,,,,0.0,,,,,,
162,2015-09-01,,,,8.5,,,,,,
163,2015-09-02,,,,0.0,,,,,,
164,2015-09-03,,,,0.9,,,,,,
165,2015-09-04,,,,0.0,,,,,,
166,2015-09-05,,,,3.1,,,,,,
167,2015-09-06,,,,5.5,,,,,,
168,2015-09-07,,,,0.0,,,,,,
169,2015-09-08,,,,0.0,,,,,,
170,2015-09-09,,,,0.0,,,,,,
171,2015-09-10,,,,0.0,,,,,,
172,2015-09-11,,,,0.0,,,,,,
173,2015-09-12,,,,6.3,,,,,,
174,2015-09-13,,,,1.8,,,,,,
175,2015-09-14,,,,6.2,,,,,,
176,2015-09-15,,,,1.2,,,,,,
177,2015-09-16,,,,4.3,,,,,,
178,2015-09-17,,,,16.4,,,,,,
179,2015-09-18,,,,1.0,,,,,,
180,2015-09-19,,,,2.3,,,,,,
181,2015-09-20,,,,0.0,,,,,,
182,2015-09-21,,,,0.0,,,,,,
183,2015-09-22,,,,17.4,,,,,,
184,2015-09-23,,,,9.7,,,,,,
185,2015-09-24,,,,0.4,,,,,,
186,2015-09-25,,,,0.0,,,,,,
187,2015-09-26,,,,0.0,,,,,,
188,2015-09-27,,,,0.0,,,,,,
189,2015-09-28,,,,0.0,,,,,,
190,2015-09-29,,,,0.0,,,,,,
191,2015-09-30,,,,0.0,,,,,,
192,2015-10-01,,,,0.0,,,,,,
193,2015-10-02,,,,0.0,,,,,,
194,2015-10-03,,,,0.0,,,,,,
195,2015-10-04,,,,11.9,,,,,,
196,2015-10-05,,,,2.9,,,,,,
197,2015-10-06,,,,6.6,,,,,,
198,2015-10-07,,,,13.7,,,,,,
199,2015-10-08,,,,0.0,,,,,,
200,2015-10-09,,,,0.0,,,,,,
201,2015-10-10,,,,0.0,,,,,,
202,2015-10-11,,,,0.0,,,,,,
203,2015-10-12,,,,0.0,,,,,,
204,2015-10-13,,,,0.2,,,,,,
205,2015-10-14,,,,2.2,,,,,,
206,2015-10-15,,,,0.1,,,,,,
207,2015-10-16,,,,0.0,,,,,,
208,2015-10-17,,,,0.3,,,,,,
209,2015-10-18,,,,0.0,,,,,,
210,2015-10-19,,,,0.0,,,,,,
211,2015-10-20,,,,0.0,,,,,,
212,2015-10-21,,,,0.0,,,,,,
213,2015-10-22,,,,0.2,,,,,,
214,2015-10-23,,,,2.2,,,,,,
215,2015-10-24,,,,0.0,,,,,,
216,2015-10-25,,,,0.0,,,,,,
217,2015-10-26,,,,0.0,,,,,,
218,2015-10-27,,,,0.0,,,,,,
219,2015-10-28,,,,0.0,,,,,,
220,2015-10-29,,,,3.6,,,,,,
221,2015-10-30,,,,0.0,,,,,,
222,2015-10-31,,,,0.0,,,,,,
223,2015-11-01,,,,0.0,,,,,,
224,2015-11-02,,,,0.0,,,,,,
225,2015-11-03,,,,0.0,,,,,,
226,2015-11-04,,,,0.0,,,,,,
227,2015-11-05,,,,0.0,,,,,,
228,2015-11-06,,,,0.1,,,,,,
229,2015-11-07,,,,3.7,,,,,,
230,2015-11-08,,,,0.0,,,,,,
231,2015-11-09,,,,0.0,,,,,,
232,2015-11-10,,,,0.0,,,,,,
233,2015-11-11,,,,0.0,,,,,,
234,2015-11-12,,,,0.0,,,,,,
235,2015-11-13,,,,3.0,,,,,,
236,2015-11-14,,,,0.5,,,,,,
237,2015-11-15,,,,0.0,,,,,,
238,2015-11-16,,,,0.0,,,,,,
239,2015-11-17,,,,1.5,,,,,,
240,2015-11-18,,,,5.5,,,,,,
241,2015-11-19,,,,25.3,,,,,,
242,2015-11-20,,,,91.6,,,,,,
243,2015-11-21,,,,13.3,,,,,,
244,2015-11-22,,,,7.4,,,,,,
245,2015-11-23,,,,3.1,,,,,,
246,2015-11-24,,,,0.0,,,,,,
247,2015-11-25,,,,14.4,,,,,,
248,2015-11-26,,,,1.5,,,,,,
249,2015-11-27,,,,0.0,,,,,,
250,2015-11-28,,,,7.0,,,,,,
251,2015-11-29,,,,18.9,,,,,,
252,2015-11-30,,,,29.7,,,,,,
253,2015-12-01,,,,60.8,,,,,,
254,2015-12-02,,,,0.0,,,,,,
255,2015-12-03,,,,0.0,,,,,,
256,2015-12-04,,,,1.9,,,,,,
257,2015-12-05,,,,0.0,,,,,,
