,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.2,3.3,8.6,1.8,0.0,248.3,27.7,63.7,1021.1,60.0
1,2015-01-03,3.9,3.0,5.4,0.2,0.0,255.0,23.0,50.4,1020.1,0.0
2,2015-01-04,4.1,2.5,5.3,1.3,0.0,285.8,21.6,47.9,1026.6,60.0
3,2015-01-05,2.7,1.7,3.7,0.0,0.0,264.2,16.6,42.8,1030.3,0.0
4,2015-01-06,1.9,-0.6,3.5,0.1,0.0,165.4,10.4,27.7,1024.4,0.0
5,2015-01-07,3.7,2.1,6.0,0.0,0.0,242.1,14.8,40.7,1025.1,60.0
6,2015-01-08,4.5,2.6,6.6,8.6,0.0,232.1,20.5,55.8,1019.8,0.0
7,2015-01-09,8.1,5.4,10.0,4.3,0.0,255.8,30.2,76.0,1013.2,0.0
8,2015-01-10,11.3,4.3,13.1,2.1,0.0,261.7,32.4,81.0,1004.6,0.0
9,2015-01-11,3.8,2.3,5.5,2.1,0.0,260.8,29.5,66.2,1010.7,90.0
10,2015-01-12,7.0,4.9,8.5,0.5,0.0,242.5,26.3,62.3,1012.3,0.0
11,2015-01-13,9.9,6.8,11.3,1.7,0.0,227.5,23.0,55.1,1005.6,144.0
12,2015-01-14,5.0,1.5,7.7,0.4,0.0,238.8,19.1,69.8,1007.9,126.0
13,2015-01-15,8.6,1.7,10.8,0.2,0.0,198.8,21.2,62.3,1002.9,6.0
14,2015-01-16,6.7,4.6,8.5,0.0,0.0,212.9,10.8,34.2,1005.5,126.0
15,2015-01-17,2.6,-2.2,5.1,0.0,0.0,235.8,10.1,30.6,1013.1,330.0
16,2015-01-18,2.1,-2.5,3.5,0.0,0.0,195.0,9.7,27.7,1015.2,114.0
17,2015-01-19,-0.4,-3.9,1.8,0.0,0.0,165.0,6.1,23.0,1013.0,0.0
18,2015-01-20,-0.2,-2.2,0.5,0.0,0.0,261.7,5.8,18.4,1012.1,0.0
19,2015-01-21,-1.6,-4.2,1.4,0.0,0.0,140.0,8.6,27.4,1015.8,384.0
20,2015-01-22,-0.2,-1.7,-0.2,0.0,0.0,50.4,14.0,31.7,1019.2,0.0
21,2015-01-23,-0.7,-1.7,0.0,0.0,0.0,107.9,7.9,24.1,1025.5,0.0
22,2015-01-24,-0.6,-4.1,1.2,1.2,0.0,209.2,11.9,32.4,1020.1,162.0
23,2015-01-25,0.8,-1.3,2.7,4.4,0.0,255.0,11.2,27.4,1026.0,0.0
24,2015-01-26,2.7,1.3,4.8,3.8,0.0,225.4,14.0,41.0,1018.8,0.0
25,2015-01-27,3.4,1.7,5.2,0.0,0.0,283.8,19.4,45.7,1017.1,72.0
26,2015-01-28,4.2,1.8,5.0,1.3,0.0,222.9,20.5,61.6,1005.4,18.0
27,2015-01-29,2.8,0.5,4.1,0.7,0.0,216.7,19.8,51.1,985.5,120.0
28,2015-01-30,0.6,-0.5,1.8,2.0,0.0,222.5,8.6,27.4,974.3,0.0
29,2015-01-31,0.6,-2.4,2.2,1.7,0.0,226.7,10.1,32.0,980.6,18.0
30,2015-02-01,1.2,-1.7,2.7,0.0,0.0,236.7,12.2,32.8,989.4,252.0
31,2015-02-02,1.6,0.0,3.1,0.9,0.0,253.3,16.6,42.5,996.3,54.0
32,2015-02-03,0.4,-3.1,2.6,2.0,0.0,281.3,14.4,45.4,1002.0,102.0
33,2015-02-04,-1.9,-3.8,0.4,0.0,0.0,290.0,9.4,24.5,1013.5,96.0
34,2015-02-05,-1.7,-4.2,0.3,0.0,0.0,160.0,9.0,25.9,1024.1,12.0
35,2015-02-06,-2.2,-5.9,0.9,0.0,0.0,93.3,10.4,28.1,1031.0,390.0
36,2015-02-07,-1.0,-6.3,3.9,0.6,0.0,247.9,14.4,58.0,1028.0,120.0
37,2015-02-08,2.0,-0.1,3.6,0.6,0.0,315.8,23.4,56.2,1025.0,510.0
38,2015-02-09,4.6,2.2,6.2,0.8,0.0,282.5,22.0,49.3,1023.3,0.0
39,2015-02-10,5.4,4.2,6.2,0.1,0.0,291.3,15.5,34.2,1028.4,0.0
40,2015-02-11,3.1,-1.4,4.9,0.0,0.0,132.5,6.1,22.0,1027.5,18.0
41,2015-02-12,0.2,-0.7,1.3,0.0,0.0,206.3,6.8,19.8,1023.2,0.0
42,2015-02-13,0.4,-1.8,3.2,0.0,0.0,155.0,9.0,20.5,1018.0,312.0
43,2015-02-14,4.9,-2.2,9.4,0.0,0.0,109.6,5.8,18.4,1012.9,402.0
44,2015-02-15,1.1,-2.4,3.7,0.0,0.0,76.3,13.3,32.0,1017.5,126.0
45,2015-02-16,2.6,0.0,5.4,0.0,0.0,112.5,16.9,40.7,1021.4,204.0
46,2015-02-17,2.2,-2.5,3.6,0.0,0.0,220.8,9.4,23.4,1031.3,0.0
47,2015-02-18,3.2,0.0,7.8,0.0,0.0,239.6,10.4,24.8,1038.7,504.0
48,2015-02-19,2.3,-0.5,6.2,0.0,0.0,226.3,15.8,34.9,1027.8,312.0
49,2015-02-20,5.9,-0.6,8.6,0.3,0.0,210.0,16.9,54.0,1011.5,108.0
50,2015-02-21,5.8,1.2,8.6,1.0,0.0,225.8,18.4,57.6,997.6,78.0
51,2015-02-22,4.6,-0.6,6.6,0.0,0.0,223.8,11.2,29.9,1007.8,150.0
52,2015-02-23,2.8,1.6,4.4,1.9,0.0,201.3,18.7,58.0,997.5,0.0
53,2015-02-24,5.1,2.0,7.1,0.0,0.0,214.2,14.8,43.2,1004.7,276.0
54,2015-02-25,5.5,0.6,8.4,0.0,0.0,209.6,11.5,33.1,1017.2,426.0
55,2015-02-26,5.7,-0.2,10.6,0.0,0.0,161.3,11.5,29.9,1018.2,228.0
56,2015-02-27,3.1,1.2,4.7,4.0,0.0,214.6,11.5,25.9,1013.2,6.0
57,2015-02-28,5.0,-0.8,7.6,0.0,0.0,222.9,11.9,29.9,1017.9,510.0
58,2015-03-01,6.9,3.5,8.9,0.6,0.0,210.8,18.4,55.4,1002.6,48.0
59,2015-03-02,5.1,1.5,8.2,1.8,0.0,240.8,22.0,61.2,1001.5,216.0
60,2015-03-03,4.8,1.7,7.5,4.3,0.0,245.4,20.5,53.3,1014.4,90.0
