,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2019-04-09,,0.8,11.6,0.0,,,,,,
1,2019-04-10,4.4,-1.9,10.3,0.0,,,7.9,30.6,1018.8,
2,2019-04-11,3.6,1.4,6.6,0.0,,,9.0,,1025.4,
3,2019-04-12,3.2,1.7,5.4,0.0,,,8.6,33.1,1026.8,
4,2019-04-13,4.1,1.4,8.3,0.0,,,9.0,29.9,1025.2,
5,2019-04-14,5.6,2.5,9.8,0.4,,,10.1,29.2,1026.4,
6,2019-04-15,7.1,1.0,13.6,0.0,,,10.1,31.0,1028.2,
7,2019-04-16,7.9,0.0,15.6,0.0,,,10.8,37.8,1024.3,
8,2019-04-17,10.8,2.6,18.7,0.0,,,10.1,33.1,1028.0,
9,2019-04-18,13.5,4.7,21.1,0.0,,,9.4,42.1,1030.8,
10,2019-04-19,14.4,5.8,22.7,0.0,,,9.4,32.0,1033.1,
11,2019-04-20,12.3,2.5,20.6,0.0,,,7.2,23.8,1030.7,
12,2019-04-21,13.6,4.0,21.9,0.0,,,6.8,23.4,1023.6,
13,2019-04-22,12.7,4.4,19.2,0.0,,,13.7,50.4,1017.8,
14,2019-04-23,14.5,9.9,19.8,0.0,,,23.4,64.8,1010.3,
15,2019-04-24,17.0,12.5,23.2,0.1,,,14.8,38.2,1006.5,
16,2019-04-25,17.5,11.5,24.9,0.0,,,7.6,30.2,1010.4,
17,2019-04-26,17.6,10.0,24.5,2.2,,,11.5,41.4,1008.4,
18,2019-04-27,12.3,7.5,19.2,0.3,,,8.6,35.3,1011.7,
19,2019-04-28,9.4,7.4,12.3,2.1,,,9.4,30.6,1017.1,
20,2019-04-29,10.4,4.9,18.0,1.9,,,11.2,36.7,1018.7,
21,2019-04-30,12.3,2.6,19.3,0.1,,,10.4,33.5,1018.0,
22,2019-05-01,12.0,7.2,16.4,0.0,,,12.2,36.0,1012.2,
23,2019-05-02,9.6,7.2,13.3,1.5,,,14.4,43.2,1005.4,
