,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2020-01-14,9.0,5.0,11.0,,,168.8,11.1,,1015.0,
1,2020-01-15,10.8,7.0,14.0,,,175.3,12.0,,1018.4,
2,2020-01-16,11.3,6.0,15.0,,,,6.2,,1026.7,
3,2020-01-17,7.5,4.0,10.0,,,169.7,9.9,,1019.4,
4,2020-01-18,5.7,4.0,7.0,,,228.3,11.0,,1026.9,
5,2020-01-19,4.2,2.0,6.0,,,,7.5,,1037.0,
6,2020-01-20,4.2,1.0,8.0,,,183.6,8.8,,1045.5,
7,2020-01-21,1.5,-3.0,6.0,,,,3.2,,1041.1,
8,2020-01-22,-1.3,-2.0,-1.0,,,,5.0,,1036.0,
9,2020-01-23,1.8,0.0,3.0,,,,5.5,,1031.0,
10,2020-01-24,0.8,-2.0,3.0,,,,6.2,,1024.7,
11,2020-01-25,1.8,-1.0,5.0,,,,4.4,,1022.5,
12,2020-01-26,2.0,0.0,3.0,,,,7.0,,1019.2,
13,2020-01-27,6.7,3.0,9.0,,,167.5,11.8,,1011.8,
14,2020-01-28,5.9,3.0,8.0,,,218.1,20.6,,1000.4,
15,2020-01-29,5.5,4.0,8.0,,,228.4,13.3,,1011.4,
16,2020-01-30,7.6,3.0,10.0,,,172.2,12.1,,1013.2,
17,2020-01-31,13.2,12.0,15.0,,,206.7,12.5,,1013.2,
18,2020-02-03,11.0,9.0,12.0,,,215.0,12.4,,1015.8,
19,2020-02-04,6.1,5.0,7.0,,,267.9,15.6,,1016.5,
20,2020-02-05,5.6,2.0,8.0,,,315.8,11.0,,1033.9,
21,2020-02-06,2.9,-2.0,8.0,,,,5.4,,1032.2,
22,2020-02-07,3.2,-3.0,8.0,,,,3.3,,1027.5,
23,2020-02-08,5.5,-2.0,9.0,,,,7.1,,1024.0,
24,2020-02-10,10.0,9.0,11.0,,,242.5,31.3,,1004.8,
25,2020-02-11,7.2,3.0,9.0,,,249.7,28.1,,1009.8,
26,2020-02-12,5.2,2.0,7.0,,,240.3,16.7,,1018.2,
27,2020-02-13,4.8,2.0,7.0,,,161.6,11.3,,1008.3,
