,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-03,1.5,0.3,3.2,,,226.3,13.1,,,
1,2015-01-04,1.5,0.0,2.4,,,261.7,19.0,,1030.9,
2,2015-01-05,0.7,-2.1,3.6,,,,13.3,,1034.1,
3,2015-01-06,-2.0,-6.2,2.8,,,,2.8,,1027.5,
4,2015-01-07,0.7,-2.6,2.1,,,,11.0,,,
5,2015-01-08,4.6,-0.5,7.9,,,,17.7,,1027.8,
6,2015-01-09,7.0,5.1,9.4,,,247.5,33.8,,1024.5,
7,2015-01-10,11.2,7.1,13.0,,,255.4,43.1,,1014.7,
8,2015-01-11,3.7,2.2,6.5,,,264.6,27.2,,1019.4,
9,2015-01-12,5.0,3.2,7.0,,,242.9,30.9,,,
10,2015-01-14,5.4,1.3,8.9,,,245.8,22.2,,1014.7,
11,2015-01-15,5.0,1.0,7.8,,,,13.3,,,
12,2015-01-16,6.3,3.2,9.6,,,,6.8,,1008.1,
13,2015-01-17,3.5,1.8,6.0,,,,9.5,,,
14,2015-01-18,1.2,-2.4,4.2,,,,4.6,,1018.5,
15,2015-01-19,2.1,0.5,4.4,,,,3.9,,1013.2,
16,2015-01-20,0.1,-0.8,1.1,,,,4.6,,,
17,2015-01-21,-0.9,-4.4,0.9,,,,7.0,,1013.6,
18,2015-01-22,0.7,-0.4,1.8,,,,5.9,,1014.4,
19,2015-01-23,0.2,-0.3,0.7,,,230.0,7.3,,1022.8,
20,2015-01-24,-0.1,-0.6,0.5,,,,9.2,,1023.2,
21,2015-01-25,0.5,-1.4,2.0,,,267.9,13.1,,,
22,2015-01-27,1.5,0.8,2.4,,,267.9,17.3,,1021.3,
23,2015-01-28,2.3,0.8,3.6,,,224.6,17.7,,,
24,2015-01-30,0.7,-0.8,2.0,,,,16.2,,,
25,2015-01-31,-0.1,-3.9,1.6,,,,13.9,,984.9,
26,2015-02-01,0.2,-3.3,3.0,,,,11.4,,992.1,
27,2015-02-02,-0.1,-3.8,2.0,,,248.8,14.1,,,
28,2015-02-03,-1.7,-5.3,0.9,,,,7.1,,1005.2,
29,2015-02-04,-3.8,-8.1,-0.8,,,,4.8,,,
30,2015-02-05,-2.0,-3.7,0.0,,,50.4,19.2,,1018.6,
