,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,0.3,,,,,,
1,2015-01-03,,,,0.2,,,,,,
2,2015-01-04,,,,3.6,,,,,,
3,2015-01-05,,,,0.1,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,0.4,,,,,,
6,2015-01-08,,,,7.8,,,,,,
7,2015-01-09,,,,0.2,,,,,,
8,2015-01-10,,,,1.9,,,,,,
9,2015-01-11,,,,1.0,,,,,,
10,2015-01-12,,,,0.0,,,,,,
11,2015-01-13,,,,0.0,,,,,,
12,2015-01-14,,,,1.5,,,,,,
13,2015-01-15,,,,0.0,,,,,,
14,2015-01-16,,,,4.4,,,,,,
15,2015-01-17,,,,2.7,,,,,,
16,2015-01-18,,,,0.0,,,,,,
17,2015-01-19,,,,0.0,,,,,,
18,2015-01-20,,,,3.4,,,,,,
19,2015-01-21,,,,0.0,,,,,,
20,2015-01-22,,,,0.7,,,,,,
21,2015-01-23,,,,1.4,,,,,,
22,2015-01-24,,,,0.0,,,,,,
23,2015-01-25,,,,2.4,,,,,,
24,2015-01-26,,,,2.5,,,,,,
25,2015-01-27,,,,0.9,,,,,,
26,2015-01-28,,,,0.3,,,,,,
27,2015-01-29,,,,0.5,,,,,,
28,2015-01-30,,,,1.5,,,,,,
29,2015-01-31,,,,0.9,,,,,,
30,2015-02-01,,,,0.0,,,,,,
31,2015-02-02,,,,0.6,,,,,,
32,2015-02-03,,,,1.2,,,,,,
33,2015-02-04,,,,0.1,,,,,,
34,2015-02-05,,,,0.4,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.1,,,,,,
37,2015-02-08,,,,0.7,,,,,,
38,2015-02-09,,,,0.4,,,,,,
39,2015-02-10,,,,0.0,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.0,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.0,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,0.0,,,,,,
50,2015-02-21,,,,0.0,,,,,,
51,2015-02-22,,,,0.0,,,,,,
52,2015-02-23,,,,0.8,,,,,,
53,2015-02-24,,,,0.0,,,,,,
54,2015-02-25,,,,0.0,,,,,,
55,2015-02-26,,,,0.0,,,,,,
56,2015-02-27,,,,0.0,,,,,,
57,2015-02-28,,,,0.3,,,,,,
58,2015-03-01,,,,0.2,,,,,,
59,2015-03-02,,,,2.9,,,,,,
60,2015-03-03,,,,1.1,,,,,,
61,2015-03-04,,,,1.0,,,,,,
62,2015-03-05,,,,0.7,,,,,,
63,2015-03-06,,,,0.0,,,,,,
64,2015-03-07,,,,0.0,,,,,,
65,2015-03-08,,,,0.0,,,,,,
66,2015-03-09,,,,0.0,,,,,,
67,2015-03-10,,,,2.1,,,,,,
68,2015-03-11,,,,0.0,,,,,,
69,2015-03-12,,,,0.1,,,,,,
70,2015-03-13,,,,0.0,,,,,,
71,2015-03-14,,,,2.8,,,,,,
72,2015-03-15,,,,1.4,,,,,,
73,2015-03-16,,,,0.0,,,,,,
74,2015-03-17,,,,0.0,,,,,,
75,2015-03-18,,,,0.0,,,,,,
76,2015-03-19,,,,0.0,,,,,,
77,2015-03-20,,,,0.0,,,,,,
78,2015-03-21,,,,0.0,,,,,,
79,2015-03-22,,,,1.6,,,,,,
80,2015-03-23,,,,0.0,,,,,,
81,2015-03-24,,,,0.0,,,,,,
82,2015-03-25,,,,0.0,,,,,,
83,2015-03-26,,,,0.3,,,,,,
84,2015-03-27,,,,0.2,,,,,,
85,2015-03-28,,,,0.0,,,,,,
86,2015-03-30,,,,4.6,,,,,,
87,2015-03-31,,,,11.6,,,,,,
88,2015-04-01,,,,1.4,,,,,,
89,2015-04-02,,,,14.6,,,,,,
90,2015-04-03,,,,0.0,,,,,,
91,2015-04-04,,,,0.1,,,,,,
92,2015-04-05,,,,0.0,,,,,,
93,2015-04-06,,,,0.0,,,,,,
94,2015-04-07,,,,0.0,,,,,,
95,2015-04-08,,,,0.0,,,,,,
96,2015-04-09,,,,0.0,,,,,,
97,2015-04-10,,,,0.0,,,,,,
98,2015-04-11,,,,0.1,,,,,,
99,2015-04-12,,,,0.2,,,,,,
100,2015-04-13,,,,0.0,,,,,,
101,2015-04-14,,,,0.0,,,,,,
102,2015-04-15,,,,0.0,,,,,,
103,2015-04-16,,,,0.0,,,,,,
104,2015-04-17,,,,0.0,,,,,,
105,2015-04-18,,,,0.0,,,,,,
106,2015-04-19,,,,0.0,,,,,,
107,2015-04-20,,,,0.0,,,,,,
108,2015-04-21,,,,0.0,,,,,,
109,2015-04-22,,,,0.0,,,,,,
110,2015-04-23,,,,0.0,,,,,,
111,2015-04-24,,,,0.0,,,,,,
112,2015-04-25,,,,0.0,,,,,,
113,2015-04-26,,,,0.7,,,,,,
114,2015-04-27,,,,3.5,,,,,,
115,2015-04-28,,,,9.4,,,,,,
116,2015-04-29,,,,0.0,,,,,,
117,2015-04-30,,,,3.4,,,,,,
118,2015-05-01,,,,2.2,,,,,,
119,2015-05-02,,,,0.0,,,,,,
120,2015-05-03,,,,2.3,,,,,,
121,2015-05-04,,,,0.0,,,,,,
122,2015-05-05,,,,0.1,,,,,,
123,2015-05-06,,,,0.0,,,,,,
124,2015-05-07,,,,0.0,,,,,,
125,2015-05-08,,,,0.0,,,,,,
126,2015-05-09,,,,5.5,,,,,,
127,2015-05-10,,,,0.0,,,,,,
128,2015-05-11,,,,0.0,,,,,,
129,2015-05-12,,,,5.3,,,,,,
130,2015-05-13,,,,0.0,,,,,,
131,2015-05-14,,,,0.3,,,,,,
132,2015-05-15,,,,0.0,,,,,,
133,2015-05-16,,,,0.2,,,,,,
134,2015-05-17,,,,0.0,,,,,,
135,2015-05-18,,,,0.0,,,,,,
136,2015-05-19,,,,0.0,,,,,,
137,2015-05-20,,,,1.4,,,,,,
138,2015-05-21,,,,0.0,,,,,,
139,2015-05-22,,,,0.0,,,,,,
140,2015-05-23,,,,0.0,,,,,,
141,2015-05-24,,,,0.2,,,,,,
142,2015-05-25,,,,2.4,,,,,,
143,2015-05-26,,,,1.4,,,,,,
144,2015-05-27,,,,0.0,,,,,,
145,2015-05-28,,,,0.2,,,,,,
146,2015-05-29,,,,0.4,,,,,,
147,2015-05-30,,,,1.6,,,,,,
148,2015-05-31,,,,0.0,,,,,,
149,2015-06-01,,,,5.4,,,,,,
150,2015-06-02,,,,0.0,,,,,,
151,2015-06-03,,,,0.0,,,,,,
152,2015-06-04,,,,0.0,,,,,,
153,2015-06-05,,,,0.0,,,,,,
154,2015-06-06,,,,0.4,,,,,,
155,2015-06-07,,,,0.0,,,,,,
156,2015-06-08,,,,2.9,,,,,,
157,2015-06-09,,,,0.0,,,,,,
158,2015-06-10,,,,0.0,,,,,,
159,2015-06-11,,,,0.5,,,,,,
160,2015-06-12,,,,1.7,,,,,,
161,2015-06-13,,,,10.4,,,,,,
162,2015-06-14,,,,0.0,,,,,,
163,2015-06-15,,,,0.0,,,,,,
164,2015-06-16,,,,0.0,,,,,,
165,2015-06-17,,,,0.0,,,,,,
166,2015-06-18,,,,8.8,,,,,,
167,2015-06-19,,,,1.6,,,,,,
168,2015-06-20,,,,0.7,,,,,,
169,2015-06-21,,,,0.2,,,,,,
170,2015-06-22,,,,5.9,,,,,,
171,2015-06-23,,,,7.4,,,,,,
172,2015-06-24,,,,0.6,,,,,,
173,2015-06-25,,,,0.0,,,,,,
174,2015-06-26,,,,0.2,,,,,,
175,2015-06-27,,,,5.1,,,,,,
176,2015-06-28,,,,0.0,,,,,,
177,2015-06-29,,,,0.4,,,,,,
178,2015-06-30,,,,0.0,,,,,,
179,2015-07-01,,,,0.0,,,,,,
180,2015-07-02,,,,0.0,,,,,,
181,2015-07-03,,,,0.4,,,,,,
182,2015-07-04,,,,0.0,,,,,,
183,2015-07-05,,,,0.0,,,,,,
184,2015-07-06,,,,16.5,,,,,,
185,2015-07-07,,,,4.3,,,,,,
186,2015-07-08,,,,3.5,,,,,,
187,2015-07-09,,,,1.0,,,,,,
188,2015-07-10,,,,0.0,,,,,,
189,2015-07-11,,,,0.0,,,,,,
190,2015-07-12,,,,2.4,,,,,,
191,2015-07-13,,,,0.8,,,,,,
192,2015-07-14,,,,2.5,,,,,,
193,2015-07-15,,,,0.0,,,,,,
194,2015-07-16,,,,0.9,,,,,,
195,2015-07-17,,,,0.0,,,,,,
196,2015-07-18,,,,1.9,,,,,,
197,2015-07-19,,,,10.1,,,,,,
198,2015-07-20,,,,0.0,,,,,,
199,2015-07-21,,,,0.1,,,,,,
200,2015-07-22,,,,24.1,,,,,,
201,2015-07-23,,,,9.2,,,,,,
202,2015-07-24,,,,0.0,,,,,,
203,2015-07-25,,,,0.0,,,,,,
204,2015-07-26,,,,0.0,,,,,,
205,2015-07-27,,,,3.4,,,,,,
206,2015-07-28,,,,5.4,,,,,,
207,2015-07-29,,,,1.5,,,,,,
208,2015-07-30,,,,0.0,,,,,,
209,2015-07-31,,,,0.0,,,,,,
210,2015-08-01,,,,0.0,,,,,,
211,2015-08-02,,,,0.0,,,,,,
212,2015-08-03,,,,0.0,,,,,,
213,2015-08-04,,,,1.1,,,,,,
214,2015-08-05,,,,0.0,,,,,,
215,2015-08-06,,,,0.0,,,,,,
216,2015-08-07,,,,0.0,,,,,,
217,2015-08-08,,,,0.0,,,,,,
218,2015-08-09,,,,0.0,,,,,,
219,2015-08-10,,,,0.0,,,,,,
220,2015-08-11,,,,0.0,,,,,,
221,2015-08-12,,,,0.0,,,,,,
222,2015-08-13,,,,0.0,,,,,,
223,2015-08-14,,,,6.3,,,,,,
