,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.5,3.4,8.0,0.5,0.0,257.1,56.2,99.0,1013.2,204.0
1,2015-01-03,5.5,4.1,6.6,6.1,0.0,277.5,43.6,73.4,1014.5,0.0
2,2015-01-04,4.9,4.1,6.0,0.0,0.0,305.4,30.2,60.1,1024.7,348.0
3,2015-01-05,5.2,4.1,5.8,0.0,0.0,257.9,22.7,40.3,1026.7,0.0
4,2015-01-06,3.5,2.6,4.1,0.5,0.0,172.9,18.0,38.9,1021.1,0.0
5,2015-01-07,5.1,3.8,6.0,1.4,0.0,239.6,28.4,60.8,1020.0,288.0
6,2015-01-08,5.3,3.8,6.4,2.3,0.0,235.0,36.7,67.7,1013.5,0.0
7,2015-01-09,6.6,5.2,8.1,3.2,0.0,256.7,51.1,125.3,1005.4,0.0
8,2015-01-10,7.2,4.0,9.3,0.9,0.0,256.7,59.4,110.9,997.2,48.0
9,2015-01-11,5.5,3.0,6.4,1.2,0.0,280.4,55.8,108.4,1003.7,72.0
10,2015-01-12,6.7,5.9,7.8,10.5,0.0,242.9,50.0,80.3,1003.8,0.0
11,2015-01-13,6.0,2.8,8.1,8.2,0.0,227.5,31.3,70.2,998.8,0.0
12,2015-01-14,3.8,1.1,5.2,14.3,0.0,239.2,36.7,88.2,1001.8,48.0
13,2015-01-15,5.5,2.9,7.2,6.5,0.0,193.3,37.4,68.4,994.1,0.0
14,2015-01-16,5.8,4.2,6.4,0.4,0.0,219.6,39.6,76.7,999.3,162.0
15,2015-01-17,4.4,2.7,5.5,0.0,0.0,239.6,34.9,61.2,1008.5,264.0
16,2015-01-18,2.9,1.5,3.6,4.2,0.0,212.1,27.0,54.0,1010.8,0.0
17,2015-01-19,1.5,0.3,2.8,3.2,0.0,142.1,7.6,20.5,1011.4,0.0
18,2015-01-20,0.3,-1.5,2.4,0.2,0.0,114.6,8.3,29.2,1011.2,6.0
19,2015-01-21,0.1,-2.5,2.3,0.0,0.0,164.2,14.4,29.9,1015.0,120.0
20,2015-01-22,-1.5,-3.4,1.8,0.0,0.0,55.0,10.4,21.2,1021.2,408.0
21,2015-01-23,-1.8,-3.4,-0.2,0.9,0.0,145.0,12.2,49.7,1024.4,0.0
22,2015-01-24,1.5,-1.7,4.4,4.8,10.0,241.3,27.7,56.5,1016.2,186.0
23,2015-01-25,3.8,1.7,5.5,1.6,10.0,266.7,18.0,42.5,1023.1,156.0
24,2015-01-26,3.9,3.0,5.5,4.9,0.0,237.1,28.4,56.9,1014.1,6.0
25,2015-01-27,4.2,3.1,5.4,0.0,0.0,297.1,26.3,51.1,1015.3,378.0
26,2015-01-28,4.0,0.7,4.7,16.9,0.0,221.3,38.9,91.8,997.2,0.0
27,2015-01-29,1.7,0.1,4.3,17.9,0.0,239.2,39.6,92.2,977.7,0.0
28,2015-01-30,0.2,-2.5,3.0,0.0,20.0,153.8,9.7,29.2,973.6,228.0
29,2015-01-31,-1.4,-5.2,0.6,0.0,20.0,132.9,7.6,20.9,979.0,24.0
30,2015-02-01,0.8,-3.3,4.5,0.1,20.0,214.6,15.8,40.7,986.4,174.0
31,2015-02-02,2.3,0.6,3.8,0.3,20.0,299.6,19.1,46.8,993.0,360.0
32,2015-02-03,-0.1,-1.5,1.2,0.1,10.0,169.6,16.9,39.2,1001.7,60.0
33,2015-02-04,-1.0,-2.5,0.3,0.0,10.0,101.3,17.3,34.2,1013.5,420.0
34,2015-02-05,-0.8,-2.6,1.4,0.0,10.0,37.5,16.9,33.5,1025.5,228.0
35,2015-02-06,-1.7,-4.6,2.8,0.0,10.0,167.9,8.6,27.7,1031.9,174.0
36,2015-02-07,3.7,2.4,5.1,0.2,0.0,290.4,30.2,83.2,1025.8,30.0
37,2015-02-08,3.3,1.4,4.8,0.5,0.0,325.0,30.6,81.4,1025.4,378.0
38,2015-02-09,4.8,4.1,6.0,0.0,0.0,302.5,33.5,61.6,1022.0,24.0
39,2015-02-10,4.7,3.1,6.0,0.0,0.0,313.3,24.8,43.2,1027.6,348.0
40,2015-02-11,3.8,2.8,4.6,0.0,0.0,246.7,8.6,24.5,1026.7,0.0
41,2015-02-12,2.3,1.5,3.0,0.0,0.0,191.3,8.6,29.5,1021.5,0.0
42,2015-02-13,1.4,-0.3,2.6,0.0,0.0,155.8,18.7,36.0,1015.2,24.0
43,2015-02-14,0.9,-1.6,4.9,0.0,0.0,100.0,20.9,38.5,1012.4,306.0
44,2015-02-15,2.3,0.3,4.3,0.0,0.0,88.3,25.2,48.6,1019.1,48.0
45,2015-02-16,1.4,-0.8,3.0,0.0,0.0,117.1,22.0,42.8,1020.4,0.0
46,2015-02-17,1.7,-1.6,4.7,0.0,0.0,211.7,15.1,29.2,1029.2,18.0
47,2015-02-18,3.7,2.4,5.9,0.0,0.0,225.0,27.4,46.1,1034.1,516.0
48,2015-02-19,3.4,2.4,4.9,1.2,0.0,220.0,33.8,55.4,1022.0,384.0
49,2015-02-20,3.4,1.1,4.6,8.0,0.0,206.3,28.4,60.1,1005.7,0.0
50,2015-02-21,2.4,0.3,3.5,9.1,0.0,220.0,19.1,43.2,993.9,0.0
51,2015-02-22,3.5,1.7,5.6,3.9,0.0,225.4,26.6,59.0,1002.9,498.0
52,2015-02-23,3.7,0.5,5.6,1.1,0.0,191.3,32.8,74.5,990.7,174.0
53,2015-02-24,4.4,3.4,6.1,0.3,0.0,211.3,33.1,61.6,998.0,84.0
54,2015-02-25,3.6,1.6,5.4,3.4,0.0,203.3,22.3,58.3,1013.2,264.0
55,2015-02-26,5.0,2.8,7.5,6.0,0.0,165.0,19.8,47.9,1014.1,264.0
56,2015-02-27,4.4,2.3,6.3,0.0,0.0,284.2,19.4,36.4,1011.9,384.0
57,2015-02-28,4.3,2.3,6.3,3.5,0.0,207.9,24.8,58.7,1013.0,444.0
58,2015-03-01,5.2,3.4,7.6,3.4,0.0,209.2,36.4,61.9,995.7,144.0
59,2015-03-02,4.5,2.5,6.6,2.4,0.0,247.9,41.4,76.7,995.4,300.0
60,2015-03-03,3.7,0.7,6.3,5.1,0.0,258.8,33.5,76.7,1009.1,126.0
61,2015-03-04,4.4,1.9,6.9,2.5,0.0,276.3,37.1,69.1,1015.8,342.0
62,2015-03-05,4.7,3.8,6.3,0.0,0.0,274.6,21.6,34.6,1031.7,18.0
63,2015-03-06,5.6,4.8,7.1,0.0,0.0,241.3,26.3,39.6,1030.5,12.0
64,2015-03-07,6.4,4.8,8.8,0.0,0.0,205.8,29.5,53.3,1023.7,120.0
65,2015-03-08,6.9,5.5,10.4,0.0,0.0,230.0,26.6,44.3,1019.8,600.0
66,2015-03-09,6.2,4.0,7.9,2.6,0.0,217.1,15.1,41.8,1024.6,312.0
67,2015-03-10,6.4,4.8,8.2,0.0,0.0,258.3,25.2,38.5,1024.2,582.0
68,2015-03-11,5.4,2.4,8.4,0.0,0.0,315.8,22.3,40.7,1029.2,600.0
69,2015-03-12,4.4,-0.5,11.2,0.0,0.0,112.1,13.3,34.6,1032.4,600.0
70,2015-03-13,2.2,-1.9,7.3,0.0,0.0,88.8,18.7,46.1,1030.4,312.0
71,2015-03-14,3.6,0.8,6.3,0.0,0.0,57.1,20.9,43.6,1031.6,78.0
72,2015-03-15,4.9,2.9,6.9,0.0,0.0,75.0,24.1,46.4,1032.1,36.0
73,2015-03-16,6.9,3.3,10.7,0.0,0.0,85.4,24.1,47.9,1028.8,180.0
74,2015-03-17,7.9,4.0,13.8,0.0,0.0,95.4,16.6,32.4,1027.3,564.0
75,2015-03-18,7.3,3.4,13.1,0.0,0.0,140.4,12.6,24.1,1026.2,618.0
76,2015-03-19,6.2,1.8,12.4,0.0,0.0,193.3,12.2,25.6,1027.8,642.0
77,2015-03-20,4.6,3.3,6.2,6.6,0.0,308.3,20.2,46.4,1022.7,0.0
78,2015-03-21,4.4,2.3,6.0,5.2,0.0,174.2,27.4,61.6,1016.8,0.0
79,2015-03-22,1.8,-1.7,5.1,0.0,0.0,117.9,11.5,32.0,1027.2,630.0
80,2015-03-23,4.8,3.1,7.0,0.0,0.0,227.9,25.9,47.5,1014.2,330.0
81,2015-03-24,6.0,4.0,8.5,0.0,0.0,205.0,13.7,26.6,1007.9,186.0
82,2015-03-25,6.0,3.3,9.0,6.4,0.0,107.5,16.2,43.6,1006.6,0.0
83,2015-03-26,5.7,4.0,8.0,0.5,0.0,228.8,19.1,41.8,1005.0,282.0
84,2015-03-27,6.1,4.5,9.2,0.0,0.0,247.1,19.8,39.2,1010.1,252.0
85,2015-03-28,6.8,4.8,9.0,8.4,0.0,217.9,24.8,55.1,1012.3,354.0
86,2015-03-29,7.0,4.4,8.5,13.6,0.0,,31.7,63.0,990.7,30.0
87,2015-03-30,5.7,3.9,7.0,15.8,0.0,286.7,50.4,93.2,993.1,294.0
88,2015-03-31,5.2,0.9,7.8,3.9,0.0,252.9,53.3,121.0,986.6,6.0
89,2015-04-01,5.0,1.6,7.4,3.7,0.0,295.0,47.5,91.4,1005.0,438.0
90,2015-04-02,4.5,0.8,7.1,1.0,0.0,312.1,36.0,67.7,1009.1,486.0
91,2015-04-03,5.6,3.5,8.1,0.0,0.0,320.4,28.4,51.8,1017.5,492.0
92,2015-04-04,5.6,1.8,9.5,0.0,0.0,277.9,18.4,36.0,1018.7,720.0
93,2015-04-05,4.9,-0.4,8.3,0.2,0.0,207.9,13.7,28.8,1024.3,720.0
94,2015-04-06,6.9,1.1,11.5,0.0,0.0,163.3,11.2,29.9,1029.7,726.0
95,2015-04-07,5.9,1.2,7.6,0.0,0.0,248.8,22.3,42.1,1032.2,0.0
96,2015-04-08,7.0,5.2,9.4,0.0,0.0,305.0,24.1,47.2,1031.5,354.0
97,2015-04-09,7.2,4.1,10.0,0.0,0.0,277.9,9.0,17.6,1027.8,564.0
98,2015-04-10,9.8,2.3,17.5,0.0,0.0,108.8,9.0,20.5,1020.2,618.0
