,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-04,11.3,,,0.0,,,,,,
1,2015-01-05,4.4,,,0.0,0.0,,11.9,25.9,,
2,2015-01-06,3.4,,,1.2,0.0,,7.6,22.3,1021.9,
3,2015-01-07,4.0,,,0.5,0.0,,10.8,33.5,1024.5,
4,2015-01-08,5.6,,,14.8,0.0,,16.6,50.0,1019.0,
5,2015-01-09,8.2,,,3.5,0.0,,,,1014.0,
6,2015-01-10,9.9,,,4.4,,,,,1007.0,
7,2015-01-11,4.6,,,2.4,,,,61.2,1013.1,
8,2015-01-12,7.4,,,4.5,,,20.5,57.2,1011.4,
9,2015-01-13,8.6,,,4.3,0.0,,18.4,53.6,1003.5,
10,2015-01-14,4.2,,,2.0,0.0,,15.1,46.4,1006.3,
11,2015-01-15,7.5,,,4.1,,,20.2,51.8,997.8,
12,2015-01-16,5.7,,,0.0,0.0,,,,1003.6,
13,2015-01-17,2.4,,,0.0,,,,,1012.3,
14,2015-01-18,2.2,,,1.3,,,6.8,25.9,1012.2,
15,2015-01-19,0.8,,,0.0,0.0,,3.2,13.0,1011.4,
16,2015-01-20,0.4,,,0.0,0.0,,3.2,13.0,1011.7,
17,2015-01-21,-1.3,,,0.0,,,7.6,27.7,1013.3,
18,2015-01-22,-0.9,,,0.0,,,12.6,31.3,1018.5,
19,2015-01-23,-1.0,,,0.0,,,,,1024.8,
20,2015-01-24,0.6,,,4.6,,,,,1019.5,
21,2015-01-25,1.6,,,1.6,,,5.8,16.6,1026.5,
22,2015-01-26,3.8,,,3.7,0.0,,12.2,31.3,1018.3,
23,2015-01-27,4.0,,,0.3,0.0,,14.0,29.5,1019.5,
24,2015-01-28,4.1,,,8.5,0.0,,17.3,40.7,1003.4,
25,2015-01-29,1.3,,,12.5,0.0,,13.0,59.4,983.0,
26,2015-01-30,0.6,,,2.7,40.0,,,,973.9,
27,2015-01-31,1.3,,,0.0,,,,,980.0,
28,2015-02-01,1.0,,,0.2,,,7.9,22.3,989.0,
29,2015-02-02,1.5,,,1.5,0.0,,13.3,33.5,997.3,
30,2015-02-03,1.1,,,1.7,0.0,,9.4,24.1,1003.1,
31,2015-02-04,-1.2,,,0.0,10.0,,4.3,25.9,1013.9,
32,2015-02-05,-1.2,,,0.1,0.0,,8.3,27.7,1023.4,
33,2015-02-06,-1.1,,,0.0,0.0,,,,1030.0,
34,2015-02-07,-0.1,,,1.0,,,,,1029.9,
35,2015-02-08,3.7,,,0.5,,,14.8,37.1,1028.1,
36,2015-02-09,5.6,,,1.0,0.0,,17.3,38.9,1026.9,
37,2015-02-10,5.3,,,0.5,0.0,,7.2,20.5,1029.9,
38,2015-02-11,3.4,,,0.0,0.0,,6.1,20.5,1026.0,
39,2015-02-12,0.8,,,0.0,0.0,,5.0,22.3,1021.5,
40,2015-02-13,2.7,,,0.0,0.0,,,,1014.4,
41,2015-02-14,5.6,,,0.0,,,,,1009.3,
42,2015-02-15,1.0,,,0.0,,,,,1014.7,
43,2015-02-16,1.3,,,0.0,,,5.4,14.8,1018.5,
44,2015-02-17,1.1,,,0.0,0.0,,4.3,16.6,1031.0,
45,2015-02-18,0.5,,,0.0,0.0,,5.4,22.3,1038.1,
46,2015-02-19,2.3,,,0.1,0.0,,9.7,33.5,1026.1,
47,2015-02-20,4.8,,,13.0,0.0,,,,1008.0,
48,2015-02-21,3.3,,,1.2,,,,,996.8,
49,2015-02-22,1.9,,,1.0,,,7.9,27.7,1006.1,
50,2015-02-23,4.0,,,1.3,0.0,,14.4,51.8,993.8,
51,2015-02-24,4.4,,,3.2,0.0,,13.3,44.3,1002.4,
52,2015-02-25,4.4,,,0.4,0.0,,7.9,27.7,1015.3,
53,2015-02-26,6.3,,,8.0,0.0,,10.1,33.5,1014.6,
54,2015-02-27,5.1,,,0.0,0.0,,,,1013.5,
55,2015-02-28,3.8,,,0.4,,,,,1015.2,
56,2015-03-01,7.4,,,5.9,,,20.2,59.4,999.5,
57,2015-03-02,4.4,,,5.6,0.0,,22.0,63.0,1002.0,
58,2015-03-03,3.3,,,6.8,0.0,,14.8,53.6,1013.9,
59,2015-03-04,3.9,,,1.0,0.0,,16.6,64.8,1021.5,
60,2015-03-06,5.3,,,0.0,,,,,,
61,2015-03-07,8.0,,,0.0,,,,,1027.8,
62,2015-03-08,10.1,,,0.0,,,,29.5,1022.5,
63,2015-03-09,8.0,,,0.3,,,4.0,18.4,1025.5,
64,2015-03-10,8.0,,,0.1,,,9.0,27.7,1026.5,
65,2015-03-11,3.2,,,0.0,,,3.2,29.5,1030.7,
66,2015-03-12,4.1,,,0.0,0.0,,7.2,35.3,1030.8,
67,2015-03-13,3.3,,,0.0,0.0,,,,1026.6,
68,2015-03-14,3.7,,,0.5,,,,,1028.1,
69,2015-03-15,5.3,,,0.0,,,16.9,37.1,1027.7,
