,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,2.7,1.0,4.8,0.1,0.0,234.2,21.2,50.4,1025.6,12.0
1,2015-01-03,1.8,0.7,3.2,0.6,0.0,246.3,17.3,49.3,1023.1,0.0
2,2015-01-04,1.7,1.0,2.7,1.0,0.0,275.8,18.0,39.6,1028.7,18.0
3,2015-01-05,0.3,-1.0,1.4,0.0,0.0,257.1,13.3,43.2,1032.1,18.0
4,2015-01-06,0.2,-0.4,1.6,0.3,0.0,180.4,7.6,30.2,1025.9,72.0
5,2015-01-07,1.3,-0.1,3.2,0.6,0.0,229.6,11.5,38.5,1027.7,36.0
6,2015-01-08,3.1,0.5,7.0,10.6,0.0,223.8,19.8,61.6,1022.8,0.0
7,2015-01-09,6.0,4.0,9.1,6.7,0.0,243.8,29.2,82.1,1017.1,0.0
8,2015-01-10,9.2,2.7,12.9,3.9,0.0,250.4,30.2,81.0,1008.1,60.0
9,2015-01-11,1.9,0.0,3.4,4.5,0.0,252.9,24.1,58.3,1014.7,6.0
10,2015-01-12,4.6,3.0,6.5,0.4,0.0,230.0,25.6,63.7,1016.4,0.0
11,2015-01-13,8.0,5.8,10.4,3.5,0.0,219.2,26.6,64.8,1009.0,366.0
12,2015-01-14,3.5,0.1,6.5,2.8,0.0,230.0,20.5,66.6,1010.6,120.0
13,2015-01-15,5.2,0.2,8.6,0.8,0.0,192.9,24.1,73.8,1006.4,48.0
14,2015-01-16,5.4,2.8,8.1,4.9,0.0,188.8,10.8,45.0,1007.1,0.0
15,2015-01-17,1.5,-2.1,3.3,0.0,0.0,250.4,7.2,24.5,1014.6,132.0
16,2015-01-18,-0.5,-1.6,1.1,0.0,0.0,204.2,10.1,30.2,1017.2,54.0
17,2015-01-19,-1.7,-3.9,-0.4,1.1,0.0,70.4,3.6,15.8,1014.0,0.0
18,2015-01-20,-1.3,-5.2,-0.5,0.4,10.0,220.8,5.4,19.4,1012.6,0.0
19,2015-01-21,-4.4,-8.8,-2.0,0.0,10.0,97.9,10.4,36.0,1016.2,24.0
20,2015-01-22,-1.7,-2.9,-0.6,0.0,10.0,105.4,13.0,28.8,1018.1,0.0
21,2015-01-23,-2.0,-3.2,-1.2,0.0,0.0,303.8,9.7,30.2,1025.4,0.0
22,2015-01-24,-1.8,-2.9,0.7,2.0,0.0,223.8,12.6,35.6,1021.9,6.0
23,2015-01-25,0.3,-0.4,0.9,1.9,20.0,275.0,11.9,28.8,1027.6,0.0
