,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.1,4.4,8.9,1.8,0.0,238.8,44.3,81.7,1013.7,42.0
1,2015-01-03,4.3,2.8,5.4,1.4,0.0,247.1,39.6,83.5,1013.9,0.0
2,2015-01-04,3.9,2.7,5.5,0.0,0.0,277.9,28.8,51.8,1022.7,270.0
3,2015-01-05,4.6,3.6,5.4,1.7,0.0,252.5,23.8,49.0,1026.7,0.0
4,2015-01-06,2.8,1.4,3.6,0.2,0.0,176.7,16.6,39.2,1024.1,0.0
5,2015-01-07,3.9,1.2,6.9,0.4,0.0,216.7,20.5,41.4,1021.7,222.0
6,2015-01-08,4.6,2.5,6.3,7.2,0.0,214.6,25.9,58.0,1015.6,0.0
7,2015-01-09,6.5,4.3,8.2,5.5,0.0,245.4,44.6,108.7,1006.0,12.0
8,2015-01-10,7.7,2.2,12.1,7.1,0.0,245.8,46.4,103.3,997.5,0.0
9,2015-01-11,3.5,1.6,5.0,6.4,0.0,250.4,41.0,94.3,1003.4,24.0
10,2015-01-12,6.8,4.8,8.7,3.3,0.0,227.9,36.4,71.6,1005.9,0.0
11,2015-01-13,6.9,4.1,9.2,9.5,0.0,219.6,24.8,56.2,1001.5,0.0
12,2015-01-14,3.9,1.0,6.4,1.0,0.0,219.6,24.8,66.2,1004.1,96.0
13,2015-01-15,4.7,0.7,8.9,2.8,0.0,181.3,27.7,56.9,999.9,0.0
14,2015-01-16,5.6,2.9,7.5,0.0,0.0,206.3,24.1,55.1,1002.5,258.0
15,2015-01-17,2.1,-0.8,5.4,0.0,0.0,218.8,17.6,40.0,1010.7,378.0
16,2015-01-18,0.6,-1.2,2.0,0.5,0.0,189.6,14.0,32.4,1013.9,6.0
17,2015-01-19,0.4,-1.3,2.2,0.7,0.0,171.7,10.4,24.5,1013.3,102.0
18,2015-01-20,0.7,-1.8,1.4,0.1,0.0,179.2,9.7,27.7,1012.0,0.0
19,2015-01-21,-1.0,-2.8,0.5,0.0,0.0,211.7,9.4,22.0,1016.5,108.0
20,2015-01-22,0.7,-2.4,2.0,0.0,0.0,70.4,15.1,29.5,1021.2,0.0
21,2015-01-23,-0.7,-2.8,0.4,0.0,0.0,286.7,10.8,40.3,1025.4,0.0
22,2015-01-24,-0.8,-2.8,1.5,1.3,0.0,204.6,22.3,49.3,1018.0,42.0
23,2015-01-25,0.8,-1.9,4.0,0.0,0.0,244.2,16.9,33.5,1023.4,366.0
24,2015-01-26,2.8,1.4,4.7,3.9,0.0,210.4,21.6,44.3,1015.7,0.0
