,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,0.9,-0.7,2.9,2.5,10.0,205.8,19.8,43.6,1029.4,0.0
1,2015-01-03,0.5,-0.4,2.5,3.7,0.0,229.2,12.2,43.2,1024.9,0.0
2,2015-01-04,1.3,0.5,2.1,0.2,20.0,309.6,17.6,44.6,1029.4,12.0
3,2015-01-05,0.0,-2.4,1.8,0.0,0.0,269.6,10.1,34.6,1032.6,390.0
4,2015-01-06,-2.6,-4.3,-1.8,0.3,0.0,169.2,8.3,23.0,1027.2,0.0
5,2015-01-07,-0.8,-2.9,2.5,1.2,10.0,184.2,9.4,37.8,1029.4,66.0
6,2015-01-08,2.3,-0.7,7.0,11.5,0.0,195.8,18.0,68.0,1025.4,0.0
7,2015-01-09,5.8,2.8,9.5,5.4,0.0,240.4,23.8,77.8,1020.5,0.0
8,2015-01-10,9.7,2.7,12.9,4.0,0.0,254.2,26.3,73.8,1010.8,12.0
9,2015-01-11,1.8,0.5,2.9,0.4,0.0,272.5,24.8,68.8,1016.9,54.0
10,2015-01-12,3.5,2.4,5.7,0.2,0.0,212.9,16.6,51.1,1020.0,0.0
11,2015-01-13,6.9,2.6,10.9,3.0,0.0,200.0,21.2,59.0,1012.1,318.0
12,2015-01-14,3.4,-0.6,6.7,5.0,0.0,227.9,18.0,51.8,1012.4,36.0
13,2015-01-15,3.1,-0.7,6.5,1.3,0.0,175.0,19.4,47.2,1009.5,0.0
14,2015-01-16,4.0,2.6,5.8,9.5,0.0,176.7,9.7,41.0,1007.8,0.0
15,2015-01-17,1.4,-3.8,3.3,0.2,0.0,280.8,6.8,20.9,1014.7,0.0
16,2015-01-18,-2.0,-3.4,-1.0,0.0,0.0,172.9,10.4,31.7,1018.4,0.0
17,2015-01-19,-0.2,-1.6,1.4,1.5,0.0,162.5,7.9,26.6,1013.1,6.0
18,2015-01-20,-0.9,-2.3,0.0,1.8,10.0,245.4,8.6,20.9,1012.1,0.0
19,2015-01-21,-2.0,-4.5,-0.6,0.0,10.0,161.7,6.5,25.2,1014.4,72.0
20,2015-01-22,-2.5,-5.6,-1.2,0.0,10.0,337.9,13.0,30.6,1016.4,0.0
21,2015-01-23,-1.9,-3.6,-1.3,0.0,10.0,350.0,16.6,34.2,1023.9,0.0
22,2015-01-24,-2.8,-4.2,-0.2,1.2,10.0,208.8,7.9,27.7,1022.6,0.0
23,2015-01-25,0.2,-0.8,1.2,0.2,30.0,311.3,11.5,36.0,1027.7,36.0
24,2015-01-26,-0.3,-0.9,1.1,4.9,20.0,202.1,11.9,31.3,1022.6,0.0
25,2015-01-27,1.0,0.1,1.6,0.1,50.0,306.7,14.0,35.6,1019.6,54.0
26,2015-01-28,0.6,-0.1,1.7,3.2,30.0,207.1,16.6,49.7,1011.0,0.0
27,2015-01-29,-0.5,-1.7,0.1,11.0,40.0,215.0,18.0,42.8,990.3,0.0
28,2015-01-30,-1.0,-2.8,0.0,3.2,160.0,227.9,12.6,45.0,976.8,30.0
29,2015-01-31,-1.4,-3.7,0.6,1.0,190.0,218.3,11.9,38.2,983.5,0.0
30,2015-02-01,-1.8,-4.0,-0.1,0.4,180.0,197.1,5.4,25.2,991.5,0.0
31,2015-02-02,-0.6,-2.2,1.1,0.2,170.0,255.4,10.1,30.2,999.1,126.0
32,2015-02-03,-1.5,-5.6,0.9,0.0,150.0,259.6,9.7,27.4,1004.1,12.0
33,2015-02-04,-3.8,-7.1,-1.6,0.0,130.0,311.7,8.6,22.7,1013.5,60.0
34,2015-02-05,-5.1,-8.9,-2.9,0.0,130.0,178.3,15.1,49.3,1021.8,60.0
35,2015-02-06,-4.6,-7.2,-2.4,0.0,120.0,57.1,22.0,46.4,1027.4,450.0
36,2015-02-07,-3.3,-8.1,1.2,0.2,120.0,320.8,13.7,39.2,1029.0,492.0
37,2015-02-08,-0.8,-2.9,1.4,0.2,120.0,339.2,22.7,57.6,1025.5,294.0
38,2015-02-09,1.3,-2.4,3.1,0.0,110.0,307.5,17.3,41.0,1026.4,0.0
39,2015-02-10,2.1,0.9,2.6,0.0,50.0,320.4,11.5,32.4,1029.9,0.0
