,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,7.3,,,,,,
1,2015-01-03,,,,20.2,,,,,,
2,2015-01-04,,,,5.8,,,,,,
3,2015-01-05,,,,0.0,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,0.6,,,,,,
6,2015-01-08,,,,1.7,,,,,,
7,2015-01-09,,,,1.7,,,,,,
8,2015-01-10,,,,0.0,,,,,,
9,2015-01-11,,,,15.6,,,,,,
10,2015-01-12,,,,0.0,,,,,,
11,2015-01-13,,,,0.0,,,,,,
12,2015-01-14,,,,6.8,,,,,,
13,2015-01-15,,,,0.0,,,,,,
14,2015-01-16,,,,4.5,,,,,,
15,2015-01-17,,,,18.8,,,,,,
16,2015-01-18,,,,0.0,,,,,,
17,2015-01-19,,,,0.3,,,,,,
18,2015-01-20,,,,3.9,,,,,,
19,2015-01-21,,,,0.0,,,,,,
20,2015-01-22,,,,0.0,,,,,,
21,2015-01-23,,,,0.0,,,,,,
22,2015-01-24,,,,1.1,,,,,,
23,2015-01-25,,,,0.1,,,,,,
24,2015-01-26,,,,7.5,,,,,,
25,2015-01-27,,,,4.1,,,,,,
26,2015-01-28,,,,0.7,,,,,,
27,2015-01-29,,,,15.0,,,,,,
28,2015-01-30,,,,6.9,,,,,,
29,2015-01-31,,,,2.8,,,,,,
30,2015-02-01,,,,4.7,,,,,,
31,2015-02-02,,,,2.5,,,,,,
32,2015-02-03,,,,0.0,,,,,,
33,2015-02-04,,,,0.0,,,,,,
34,2015-02-05,,,,0.0,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.0,,,,,,
37,2015-02-08,,,,0.0,,,,,,
38,2015-02-09,,,,0.0,,,,,,
39,2015-02-10,,,,0.0,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.0,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.0,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,0.0,,,,,,
50,2015-02-21,,,,9.3,,,,,,
51,2015-02-22,,,,2.2,,,,,,
52,2015-02-23,,,,9.3,,,,,,
53,2015-02-24,,,,0.4,,,,,,
54,2015-02-25,,,,0.1,,,,,,
55,2015-02-26,,,,0.0,,,,,,
56,2015-02-27,,,,10.4,,,,,,
57,2015-02-28,,,,0.0,,,,,,
58,2015-03-01,,,,6.8,,,,,,
59,2015-03-02,,,,13.1,,,,,,
60,2015-03-03,,,,0.0,,,,,,
61,2015-03-04,,,,4.4,,,,,,
62,2015-03-05,,,,0.0,,,,,,
63,2015-03-06,,,,0.0,,,,,,
64,2015-03-07,,,,0.0,,,,,,
65,2015-03-08,,,,0.0,,,,,,
66,2015-03-09,,,,0.0,,,,,,
67,2015-03-10,,,,0.0,,,,,,
68,2015-03-11,,,,0.0,,,,,,
69,2015-03-12,,,,0.0,,,,,,
70,2015-03-13,,,,0.0,,,,,,
71,2015-03-14,,,,0.0,,,,,,
72,2015-03-15,,,,0.0,,,,,,
73,2015-03-16,,,,0.0,,,,,,
74,2015-03-17,,,,0.0,,,,,,
75,2015-03-18,,,,0.0,,,,,,
76,2015-03-19,,,,0.0,,,,,,
