,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,3.7,,243.8,19.3,,,
1,2015-01-03,,,,10.8,,209.2,10.9,,,
2,2015-01-04,,,,0.0,,257.5,9.2,,,
3,2015-01-05,,,,0.0,,210.4,7.5,,,
4,2015-01-06,,,,0.2,,151.7,8.1,,,
5,2015-01-07,,,,1.0,,226.3,12.1,,,
6,2015-01-08,,,,16.5,,226.3,19.9,,,
7,2015-01-09,,,,8.0,,237.9,25.0,,,
8,2015-01-10,,,,3.5,,254.2,27.5,,,
9,2015-01-11,,,,0.5,,250.0,19.2,,,
10,2015-01-12,,,,0.0,,227.5,28.1,,,
11,2015-01-13,,,,3.2,,225.4,29.1,,,
12,2015-01-14,,,,6.9,,224.2,21.0,,,
13,2015-01-15,,,,0.8,,205.0,28.4,,,
14,2015-01-16,,,,0.0,,212.1,11.7,,,
15,2015-01-17,,,,0.0,,232.9,9.7,,,
16,2015-01-18,,,,0.0,,169.2,9.0,,,
17,2015-01-19,,,,0.0,,187.5,5.5,,,
18,2015-01-20,,,,0.1,,216.3,3.9,,,
19,2015-01-21,,,,0.0,,104.6,8.6,,,
20,2015-01-22,,,,0.0,,80.0,12.6,,,
21,2015-01-23,,,,0.0,,178.8,8.6,,,
22,2015-01-24,,,,6.3,,235.8,10.3,,,
23,2015-01-25,,,,1.1,,236.3,8.8,,,
24,2015-01-26,,,,3.9,,237.1,11.8,,,
25,2015-01-27,,,,0.0,,269.2,9.7,,,
26,2015-01-28,,,,3.3,,222.1,20.7,,,
27,2015-01-29,,,,1.8,,222.9,19.5,,,
28,2015-01-30,,,,1.5,,245.4,12.4,,,
29,2015-01-31,,,,0.1,,231.7,12.3,,,
30,2015-02-01,,,,2.5,,245.4,8.9,,,
31,2015-02-02,,,,1.4,,262.1,11.6,,,
32,2015-02-03,,,,0.1,,261.3,7.9,,,
33,2015-02-04,,,,0.0,,170.4,6.5,,,
34,2015-02-05,,,,0.0,,89.6,12.0,,,
35,2015-02-06,,,,0.0,,46.7,21.8,,,
36,2015-02-07,,,,0.1,,162.1,10.6,,,
37,2015-02-08,,,,0.1,,305.4,15.6,,,
38,2015-02-09,,,,0.3,,275.4,10.3,,,
39,2015-02-10,,,,0.5,,250.0,7.6,,,
40,2015-02-11,,,,0.0,,106.3,10.8,,,
41,2015-02-12,,,,0.0,,132.1,11.9,,,
42,2015-02-13,,,,0.0,,133.8,16.1,,,
43,2015-02-14,,,,0.0,,126.3,18.1,,,
44,2015-02-15,,,,0.0,,84.6,9.3,,,
45,2015-02-16,,,,0.0,,137.1,10.8,,,
46,2015-02-17,,,,0.0,,241.7,6.9,,,
47,2015-02-18,,,,0.0,,201.7,6.2,,,
48,2015-02-19,,,,0.0,,188.3,10.2,,,
49,2015-02-20,,,,3.0,,196.7,16.6,,,
50,2015-02-21,,,,2.2,,236.3,13.6,,,
51,2015-02-22,,,,0.0,,221.3,11.0,,,
52,2015-02-23,,,,9.6,,211.3,18.9,,,
53,2015-02-24,,,,2.3,,223.8,18.9,,,
54,2015-02-25,,,,0.2,,208.3,10.7,,,
55,2015-02-26,,,,1.6,,161.7,10.9,,,
56,2015-02-27,,,,9.0,,288.8,14.2,,,
57,2015-02-28,,,,0.0,,191.3,11.3,,,
58,2015-03-01,,,,0.2,,224.2,20.5,,,
59,2015-03-02,,,,5.1,,252.1,17.5,,,
60,2015-03-03,,,,4.6,,231.7,19.6,,,
61,2015-03-04,,,,0.4,,257.1,14.4,,,
62,2015-03-05,,,,0.0,,286.3,8.3,,,
63,2015-03-06,,,,0.0,,223.3,9.0,,,
64,2015-03-07,,,,0.0,,169.2,8.1,,,
65,2015-03-08,,,,0.0,,178.3,7.9,,,
66,2015-03-09,,,,0.2,,183.8,5.3,,,
67,2015-03-10,,,,1.1,,289.6,8.8,,,
68,2015-03-11,,,,0.0,,160.4,5.1,,,
69,2015-03-12,,,,0.0,,83.3,8.9,,,
70,2015-03-13,,,,0.0,,100.8,13.9,,,
71,2015-03-14,,,,0.3,,43.8,14.1,,,
72,2015-03-15,,,,0.3,,55.8,14.1,,,
73,2015-03-16,,,,0.0,,96.3,7.5,,,
74,2015-03-17,,,,0.0,,109.2,6.1,,,
