,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-1.2,-2.4,0.2,6.2,160.0,260.0,20.9,58.0,1028.0,0.0
1,2015-01-03,-2.4,-3.2,-1.8,7.7,130.0,275.8,15.8,45.4,1024.0,0.0
2,2015-01-04,-2.4,-2.7,-2.1,16.0,200.0,329.2,11.9,55.1,1026.4,0.0
3,2015-01-05,-3.0,-3.8,-1.6,0.0,280.0,325.0,10.1,40.0,1031.1,174.0
4,2015-01-06,-2.8,-4.2,-0.4,0.2,260.0,214.2,9.4,32.8,1027.5,306.0
5,2015-01-07,-2.8,-4.6,-1.7,2.4,250.0,262.9,9.7,38.5,1028.8,0.0
6,2015-01-08,-0.4,-3.4,2.8,12.8,250.0,252.9,21.2,58.7,1025.1,0.0
7,2015-01-09,1.5,-0.4,3.5,21.2,180.0,275.4,24.5,73.4,1019.5,0.0
8,2015-01-10,5.5,-1.6,8.5,6.7,90.0,278.3,23.4,87.8,1009.2,0.0
9,2015-01-11,-2.3,-3.3,-1.3,1.0,0.0,287.5,16.9,56.9,1015.5,0.0
10,2015-01-12,-0.2,-1.7,2.0,0.1,10.0,266.3,24.5,60.8,1019.9,0.0
11,2015-01-13,3.4,0.5,6.0,3.3,0.0,247.5,18.7,53.3,1013.8,468.0
12,2015-01-14,1.1,-2.9,4.3,1.6,0.0,256.7,18.4,63.7,1012.9,30.0
13,2015-01-15,-0.3,-3.6,2.2,0.1,10.0,229.6,16.9,55.4,1012.8,6.0
14,2015-01-16,1.8,-0.4,4.4,2.8,0.0,212.9,10.4,29.9,1008.9,60.0
15,2015-01-17,-0.6,-1.8,1.9,2.2,20.0,268.8,4.7,23.4,1013.8,0.0
16,2015-01-18,-2.9,-4.7,-1.6,0.0,30.0,222.9,9.4,33.5,1018.5,66.0
17,2015-01-19,-2.6,-3.0,-1.5,0.0,20.0,183.3,10.1,29.2,1013.9,12.0
18,2015-01-20,-3.2,-4.1,-2.2,2.1,30.0,214.2,8.6,31.0,1011.9,0.0
19,2015-01-21,-4.4,-6.4,-2.4,0.0,60.0,162.1,8.3,34.2,1015.1,102.0
20,2015-01-22,-2.3,-4.0,-1.0,0.8,50.0,89.6,8.6,30.6,1015.4,0.0
21,2015-01-23,-4.7,-5.1,-4.0,0.1,50.0,30.8,7.2,25.6,1023.1,0.0
22,2015-01-24,-5.3,-7.7,-3.6,2.9,50.0,220.8,7.6,25.2,1022.0,126.0
23,2015-01-25,-3.2,-4.4,-2.7,4.5,80.0,332.9,7.2,40.3,1026.1,0.0
24,2015-01-26,-2.9,-3.2,-2.5,8.8,110.0,256.3,11.2,41.4,1022.6,0.0
25,2015-01-27,-2.6,-3.0,-2.1,9.7,200.0,319.2,9.4,36.4,1017.7,0.0
26,2015-01-28,-2.6,-3.5,-2.0,2.0,240.0,266.7,16.6,59.0,1011.7,0.0
27,2015-01-29,-3.4,-4.7,-1.8,8.3,250.0,242.1,17.3,52.9,992.0,0.0
28,2015-01-30,-3.7,-5.7,-1.9,2.0,370.0,244.6,15.1,54.0,976.8,0.0
29,2015-01-31,-4.9,-6.8,-3.5,2.8,360.0,268.3,14.8,38.5,983.6,0.0
30,2015-02-01,-4.2,-5.5,-2.9,1.6,390.0,245.0,10.1,28.4,991.8,24.0
31,2015-02-02,-4.2,-5.3,-2.8,2.7,390.0,282.5,9.0,32.8,998.6,66.0
32,2015-02-03,-4.7,-6.1,-2.9,0.4,400.0,275.8,10.1,38.5,1003.8,126.0
33,2015-02-04,-6.5,-8.7,-5.0,0.7,380.0,126.3,4.0,16.6,1013.0,12.0
34,2015-02-05,-8.8,-12.9,-5.6,0.0,380.0,100.8,9.7,38.2,1022.5,180.0
35,2015-02-06,-8.0,-9.8,-4.8,0.0,360.0,81.3,12.6,41.4,1027.5,378.0
36,2015-02-07,-6.2,-11.8,-1.0,3.3,340.0,177.5,6.8,45.7,1028.0,486.0
37,2015-02-08,-5.5,-8.8,-2.3,4.6,320.0,347.9,14.4,54.7,1022.5,78.0
38,2015-02-09,-2.6,-8.4,-0.5,10.9,370.0,327.1,11.2,39.2,1024.1,0.0
39,2015-02-10,-1.0,-1.9,-0.3,0.4,410.0,342.1,7.6,31.7,1028.9,0.0
40,2015-02-11,-0.2,-3.1,6.1,0.0,360.0,131.7,5.0,18.4,1027.9,444.0
41,2015-02-12,-0.1,-7.1,5.8,0.0,350.0,210.8,7.6,25.2,1024.3,558.0
42,2015-02-13,-3.1,-8.0,5.6,0.0,340.0,214.6,7.6,28.4,1021.5,552.0
43,2015-02-14,-3.3,-7.6,5.3,0.0,340.0,206.3,5.4,20.2,1015.6,564.0
44,2015-02-15,-2.9,-7.1,0.4,0.0,340.0,160.4,15.1,45.4,1016.7,0.0
45,2015-02-16,0.2,-1.4,2.4,0.0,330.0,165.4,16.9,41.4,1021.5,570.0
46,2015-02-17,0.2,-3.2,6.5,0.0,330.0,185.4,6.5,27.0,1031.1,570.0
47,2015-02-18,-3.1,-5.8,-0.4,0.0,320.0,167.1,5.0,19.1,1040.5,6.0
48,2015-02-19,-1.8,-7.1,6.4,0.0,320.0,243.3,9.7,38.9,1030.8,576.0
49,2015-02-20,-1.2,-6.9,3.8,0.0,320.0,226.7,13.0,41.8,1017.9,450.0
50,2015-02-21,0.8,-1.7,4.4,0.7,300.0,237.5,11.9,47.5,1002.2,204.0
51,2015-02-22,-2.0,-4.8,0.4,0.0,320.0,186.7,5.0,17.6,1009.9,30.0
52,2015-02-23,-2.4,-5.1,-0.3,1.0,310.0,224.2,14.4,46.8,1003.3,0.0
53,2015-02-24,-0.7,-2.3,0.5,0.0,310.0,259.6,11.9,37.8,1008.9,60.0
54,2015-02-25,-1.7,-6.5,2.6,0.0,300.0,275.0,6.1,25.9,1019.9,222.0
55,2015-02-26,-1.8,-7.7,3.2,0.0,300.0,216.3,8.3,28.8,1021.9,594.0
56,2015-02-27,-0.1,-3.3,6.2,0.3,300.0,213.3,8.6,29.5,1014.1,594.0
57,2015-02-28,-1.7,-3.6,1.8,0.1,300.0,285.4,6.8,26.6,1020.3,126.0
58,2015-03-01,-0.7,-2.8,2.1,5.2,290.0,232.9,16.9,48.2,1009.6,0.0
59,2015-03-02,0.5,-2.9,2.6,3.3,280.0,263.3,14.4,55.4,1005.5,216.0
60,2015-03-03,-1.2,-4.1,1.9,5.9,300.0,259.6,17.6,50.8,1019.0,432.0
