,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,1.6,-7.3,5.4,7.6,320.0,,,,,
1,2015-01-03,3.5,0.7,7.1,19.3,230.0,,,,,
2,2015-01-04,0.2,-1.1,2.4,0.4,30.0,,,,,
3,2015-01-05,-1.1,-5.4,3.8,0.0,10.0,,,,,
4,2015-01-06,-1.0,-5.6,7.3,0.0,0.0,,,,,
5,2015-01-07,2.1,-1.5,3.9,0.0,0.0,,,,,
6,2015-01-08,4.7,-1.2,7.3,0.4,0.0,,,,,
7,2015-01-09,6.4,4.3,9.3,6.4,0.0,,,,,
8,2015-01-10,11.7,9.1,14.1,9.1,0.0,,,,,
9,2015-01-11,2.2,-0.1,10.2,7.9,0.0,,,,,
10,2015-01-12,3.1,-0.1,7.9,0.0,20.0,,,,,
11,2015-01-13,4.9,-0.7,11.9,0.0,10.0,,,,,
12,2015-01-14,3.8,0.1,8.0,8.6,0.0,,,,,
13,2015-01-15,1.6,-1.6,7.5,0.0,0.0,,,,,
14,2015-01-16,2.2,-2.6,8.6,6.0,0.0,,,,,
15,2015-01-17,0.8,-1.1,4.3,12.6,10.0,,,,,
16,2015-01-18,-0.5,-2.0,0.9,0.0,80.0,,,,,
17,2015-01-19,-4.3,-8.2,1.6,0.0,70.0,,,,,
18,2015-01-20,-2.6,-6.6,0.9,0.1,40.0,,,,,
19,2015-01-21,-1.9,-2.6,-0.4,0.0,30.0,,,,,
20,2015-01-22,-2.0,-2.7,-0.2,0.0,30.0,,,,,
21,2015-01-23,-1.5,-2.1,-0.8,0.4,30.0,,,,,
22,2015-01-24,-1.2,-2.0,-0.1,2.0,30.0,,,,,
23,2015-01-25,-1.9,-3.3,-0.5,0.5,80.0,,,,,
24,2015-01-26,-2.0,-4.2,0.5,4.5,80.0,,,,,
25,2015-01-27,-0.4,-1.3,0.5,3.2,140.0,,,,,
26,2015-01-28,-1.1,-6.4,2.0,6.8,200.0,,,,,
27,2015-01-29,-0.2,-2.4,2.1,5.2,240.0,,,,,
28,2015-01-30,-1.6,-4.0,2.2,2.4,290.0,,,,,
29,2015-01-31,-0.9,-3.2,1.1,0.0,320.0,,,,,
30,2015-02-01,-2.2,-8.5,-0.4,3.4,280.0,,,,,
31,2015-02-02,-2.1,-7.3,-0.2,11.3,330.0,,,,,
32,2015-02-03,-5.9,-13.8,-0.9,0.0,430.0,,,,,
33,2015-02-04,-6.0,-12.9,-2.2,0.0,360.0,,,,,
34,2015-02-05,-5.0,-5.7,-3.3,0.0,300.0,,,,,
35,2015-02-06,-4.9,-5.9,-3.6,0.0,290.0,,,,,
36,2015-02-07,-7.2,-13.6,-3.3,0.0,290.0,,,,,
37,2015-02-08,-4.9,-11.9,-2.2,2.0,290.0,,,,,
38,2015-02-09,-3.2,-6.8,-0.9,0.0,310.0,,,,,
39,2015-02-10,-2.5,-9.1,4.3,0.0,300.0,,,,,
40,2015-02-11,-5.6,-10.6,2.6,0.0,270.0,,,,,
41,2015-02-12,-5.3,-13.1,8.2,0.0,230.0,,,,,
42,2015-02-13,-3.9,-12.0,8.2,0.0,200.0,,,,,
43,2015-02-14,-3.8,-9.8,3.1,0.0,200.0,,,,,
44,2015-02-15,-4.7,-8.0,-2.2,0.0,200.0,,,,,
45,2015-02-16,-5.2,-11.7,3.0,0.0,190.0,,,,,
46,2015-02-17,-4.8,-11.4,1.8,0.1,190.0,,,,,
47,2015-02-18,-3.1,-4.1,-1.6,0.0,190.0,,,,,
48,2015-02-19,-2.5,-6.4,5.6,0.0,170.0,,,,,
49,2015-02-20,-0.1,-6.8,9.6,0.0,160.0,,,,,
50,2015-02-21,-0.2,-7.9,6.6,4.4,140.0,,,,,
51,2015-02-22,-0.9,-5.2,1.0,1.5,190.0,,,,,
52,2015-02-23,-0.8,-9.5,3.8,3.5,170.0,,,,,
53,2015-02-24,1.3,-1.9,2.9,2.4,100.0,,,,,
54,2015-02-25,0.1,-6.3,3.9,0.0,100.0,,,,,
55,2015-02-26,-2.7,-8.9,5.0,0.0,90.0,,,,,
