,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.3,,,0.8,0.0,,42.8,87.1,1015.5,
1,2015-01-03,4.7,,,,0.0,,33.5,76.0,1016.0,
2,2015-01-04,4.5,,,0.0,0.0,,24.5,66.6,1025.3,
3,2015-01-05,3.5,,,0.0,0.0,,19.8,38.9,1027.4,
4,2015-01-06,2.8,,,1.4,0.0,,13.0,33.5,1021.3,
5,2015-01-07,4.6,,,0.4,0.0,,21.2,51.8,1021.1,
6,2015-01-08,5.1,,,5.3,0.0,,27.7,53.6,1014.9,
7,2015-01-09,6.7,,,13.9,0.0,,42.5,131.4,1007.3,
8,2015-01-10,8.3,,,2.1,0.0,,50.0,103.7,999.2,
9,2015-01-11,5.0,,,4.0,0.0,,46.1,111.2,1005.5,
10,2015-01-12,7.1,,,11.6,0.0,,37.4,72.4,1005.6,
11,2015-01-13,6.5,,,12.3,0.0,,22.7,70.6,1000.0,
12,2015-01-14,3.3,,,0.6,0.0,,23.8,71.3,1003.0,
13,2015-01-15,5.7,,,5.6,0.0,,29.9,64.8,995.3,
14,2015-01-16,5.3,,,0.0,0.0,,25.2,64.8,1000.5,
15,2015-01-17,2.7,,,0.0,0.0,,19.4,51.8,1009.6,
16,2015-01-18,1.5,,,5.4,0.0,,15.1,37.8,1011.3,
17,2015-01-19,0.3,,,1.3,20.0,,5.4,14.8,1011.2,
18,2015-01-20,0.1,,,0.0,0.0,,4.7,16.6,1011.1,
19,2015-01-21,-1.8,,,0.0,0.0,,9.7,27.0,1014.8,
20,2015-01-22,-2.5,,,0.0,0.0,,8.6,25.9,1020.6,
21,2015-01-23,-4.4,,,0.2,0.0,,5.8,20.2,1024.6,
22,2015-01-24,0.0,,,5.1,0.0,,15.8,40.7,1016.8,
23,2015-01-25,2.7,,,1.8,40.0,,13.0,37.1,1023.6,
24,2015-01-26,3.3,,,6.3,0.0,,21.6,50.8,1015.0,
25,2015-01-27,4.2,,,0.0,0.0,,20.9,51.8,1015.9,
26,2015-01-28,3.9,,,8.0,0.0,,29.5,72.4,998.8,
27,2015-01-29,1.5,,,0.4,0.0,,28.8,66.6,979.2,
28,2015-01-30,0.4,,,1.3,0.0,,6.1,20.2,973.4,
29,2015-01-31,-0.3,,,0.4,0.0,,6.1,18.4,978.6,
30,2015-02-01,0.4,,,0.1,0.0,,14.4,37.8,986.9,
31,2015-02-02,1.6,,,4.9,0.0,,16.2,40.7,993.5,
32,2015-02-03,-0.9,,,0.2,30.0,,8.3,27.7,1001.3,
33,2015-02-04,-2.5,,,0.0,30.0,,9.0,31.3,1013.1,
34,2015-02-05,-1.1,,,0.0,20.0,,13.0,31.3,1024.7,
35,2015-02-06,-3.3,,,0.1,20.0,,7.2,24.1,1031.6,
36,2015-02-07,2.7,,,0.5,20.0,,24.1,64.8,1026.5,
37,2015-02-08,3.4,,,0.6,0.0,,27.7,66.6,1025.5,
38,2015-02-09,5.3,,,0.4,0.0,,31.0,55.4,1022.7,
39,2015-02-10,5.4,,,0.1,0.0,,20.9,46.4,1027.9,
40,2015-02-11,3.7,,,0.0,0.0,,6.8,20.2,1026.4,
41,2015-02-12,1.8,,,0.0,0.0,,6.8,20.2,1021.4,
42,2015-02-13,1.5,,,0.0,0.0,,13.3,29.5,1015.1,
43,2015-02-14,1.9,,,0.0,0.0,,14.4,31.3,1011.6,
44,2015-02-15,1.6,,,0.0,0.0,,20.9,46.4,1018.0,
45,2015-02-16,1.4,,,0.0,0.0,,16.2,38.9,1019.8,
46,2015-02-17,0.8,,,0.0,0.0,,10.8,22.3,1029.4,
47,2015-02-18,2.0,,,0.0,0.0,,19.4,46.4,1035.2,
48,2015-02-19,2.4,,,0.3,0.0,,24.1,51.8,1022.9,
49,2015-02-20,3.4,,,10.3,0.0,,20.9,50.0,1006.4,
50,2015-02-21,3.2,,,7.9,0.0,,17.3,47.2,994.1,
51,2015-02-22,2.5,,,3.0,0.0,,19.1,46.4,1003.8,
52,2015-02-23,3.5,,,0.4,10.0,,24.5,63.0,991.6,
53,2015-02-24,4.3,,,1.0,0.0,,24.1,57.6,999.1,
54,2015-02-25,3.5,,,3.1,0.0,,15.8,37.1,1013.7,
55,2015-02-26,5.6,,,8.1,0.0,,17.6,44.3,1014.2,
56,2015-02-27,4.5,,,0.7,0.0,,16.6,42.1,1012.0,
57,2015-02-28,3.3,,,2.7,0.0,,17.6,46.4,1013.7,
58,2015-03-01,5.4,,,5.0,0.0,,25.2,72.4,996.8,
59,2015-03-02,4.0,,,6.9,0.0,,32.4,72.4,996.8,
60,2015-03-03,3.2,,,7.5,0.0,,24.8,64.8,1010.1,
61,2015-03-04,3.7,,,2.3,0.0,,28.4,68.4,1016.9,
62,2015-03-05,4.9,,,0.0,0.0,,18.4,37.1,1032.2,
63,2015-03-06,6.5,,,0.0,0.0,,18.0,38.9,1031.3,
64,2015-03-07,7.9,,,0.0,0.0,,24.8,53.6,1024.7,
65,2015-03-08,8.9,,,0.1,0.0,,21.2,42.5,1020.2,
66,2015-03-09,7.5,,,1.9,0.0,,11.5,27.7,1024.6,
67,2015-03-10,6.7,,,0.0,0.0,,20.2,48.2,1024.8,
68,2015-03-11,4.7,,,0.0,0.0,,17.6,50.0,1029.3,
69,2015-03-12,4.3,,,0.0,0.0,,10.8,33.5,1031.8,
70,2015-03-13,2.3,,,0.0,0.0,,18.0,53.6,1029.3,
71,2015-03-14,4.0,,,0.0,0.0,,24.1,42.5,1030.3,
72,2015-03-15,5.2,,,0.0,0.0,,22.7,44.3,1030.9,
73,2015-03-16,7.8,,,0.0,0.0,,18.4,44.3,1027.5,
74,2015-03-17,8.3,,,0.0,0.0,,13.0,29.5,1026.5,
75,2015-03-18,7.8,,,0.0,0.0,,8.3,16.6,1025.6,
76,2015-03-19,7.0,,,0.0,0.0,,10.1,25.9,1027.1,
77,2015-03-20,3.9,,,7.1,0.0,,13.3,33.5,1022.9,
78,2015-03-21,4.4,,,1.0,0.0,,24.1,59.4,1016.3,
79,2015-03-22,2.1,,,0.0,0.0,,12.2,42.5,1026.6,
80,2015-03-23,3.7,,,0.0,0.0,,11.9,31.3,1014.6,
81,2015-03-24,5.0,,,0.0,0.0,,9.7,24.1,1007.9,
82,2015-03-25,6.7,,,5.2,0.0,,15.1,40.3,1005.9,
83,2015-03-26,5.5,,,0.7,0.0,,15.5,35.3,1005.1,
84,2015-03-27,5.8,,,1.0,0.0,,18.0,40.7,1010.2,
85,2015-03-28,7.1,,,7.9,0.0,,18.0,46.4,1012.9,
86,2015-03-29,8.0,,,12.2,0.0,,27.0,74.5,991.3,
