,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2018-01-28,6.5,3.6,8.5,0.1,0.0,235.4,28.3,63.0,1027.8,
1,2018-01-29,9.3,8.4,11.4,0.3,0.0,238.3,29.2,56.0,1023.0,
2,2018-01-30,4.7,2.0,7.2,0.0,0.0,245.4,18.5,52.0,1026.7,
3,2018-02-01,3.5,1.4,5.9,0.5,0.0,238.3,16.3,49.0,1001.1,
4,2018-02-02,2.5,0.5,4.6,0.0,0.0,223.8,18.2,44.0,1003.4,
5,2018-02-03,2.2,1.1,3.1,0.3,0.0,263.8,11.3,34.0,1005.7,
6,2018-02-04,-1.6,-4.7,1.1,2.9,40.0,69.6,11.4,26.0,1017.5,
7,2018-02-05,-3.1,-6.0,-0.7,0.0,0.0,88.8,9.2,30.0,1028.0,
8,2018-02-08,-1.5,-2.8,0.0,0.0,0.0,75.8,6.4,18.0,1020.6,
9,2018-02-09,-3.3,-6.4,-0.2,0.0,0.0,192.5,5.5,17.0,1018.0,
10,2018-02-10,1.3,-0.5,3.4,0.0,0.0,221.3,10.6,33.0,1016.1,
11,2018-02-11,2.1,0.8,3.4,0.0,0.0,219.2,16.8,50.0,1005.8,
12,2018-02-12,1.0,-1.1,3.1,0.0,0.0,233.8,13.9,41.0,1011.2,
13,2018-02-13,,,,0.0,0.0,198.8,8.4,26.0,,
14,2018-02-14,-1.5,-6.4,4.3,0.0,0.0,145.8,5.7,21.0,1020.1,
15,2018-02-15,0.1,-2.7,2.6,0.3,0.0,167.5,12.3,40.0,1018.3,
16,2018-02-16,2.3,-0.9,6.3,0.0,0.0,242.5,10.8,38.0,1024.1,
17,2018-02-17,-0.2,-3.3,3.2,0.0,0.0,101.3,7.2,23.0,1025.6,
18,2018-02-18,1.4,-0.6,4.0,0.0,0.0,151.3,5.3,20.0,1028.2,
19,2018-02-21,-1.8,-5.3,1.9,0.0,0.0,46.3,15.0,32.0,1024.8,
20,2018-02-22,-1.2,-4.4,2.4,0.0,0.0,56.3,18.2,51.0,1024.9,
21,2018-02-23,-3.8,-6.5,-0.4,0.0,0.0,58.8,20.5,41.0,1025.2,
22,2018-02-24,-4.3,-7.7,0.8,0.0,0.0,56.7,21.5,56.0,1028.7,
23,2018-02-25,-6.7,-10.8,-2.7,0.0,0.0,55.4,19.0,40.0,1031.5,
24,2018-02-26,-6.2,-8.5,-3.5,0.1,0.0,47.9,20.6,44.0,1028.1,
25,2018-02-27,-8.6,-13.3,-3.9,0.0,0.0,55.8,13.8,32.0,1023.3,
26,2018-02-28,-9.7,-13.3,-6.1,0.0,0.0,64.2,24.1,47.0,1025.0,
