,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,2.2,7.5,2.1,0.0,,,,,
1,2015-01-03,,0.6,3.2,10.0,0.0,,,,,
2,2015-01-04,,0.1,4.4,0.0,0.0,,,,,
3,2015-01-05,,0.3,4.0,0.0,0.0,,,,,
4,2015-01-06,,-1.0,6.5,1.0,0.0,,,,,
5,2015-01-07,,1.1,4.9,3.2,0.0,,,,,
6,2015-01-08,,3.3,8.4,19.0,0.0,,,,,
7,2015-01-09,,5.2,12.8,9.6,0.0,,,,,
8,2015-01-10,,2.8,12.8,5.7,0.0,,,,,
9,2015-01-11,,1.6,5.5,0.0,0.0,,,,,
10,2015-01-12,,5.2,8.1,0.0,0.0,,,,,
11,2015-01-13,,6.2,10.7,6.3,0.0,,,,,
12,2015-01-14,,0.0,6.8,2.4,0.0,,,,,
13,2015-01-15,,4.9,9.9,1.7,0.0,,,,,
14,2015-01-16,,2.9,6.7,0.1,0.0,,,,,
15,2015-01-17,,0.1,4.1,0.0,0.0,,,,,
16,2015-01-18,,-0.2,4.3,0.0,0.0,,,,,
17,2015-01-19,,-2.0,0.9,0.0,0.0,,,,,
18,2015-01-20,,-2.1,2.0,0.0,0.0,,,,,
19,2015-01-21,,-3.3,1.1,0.0,0.0,,,,,
20,2015-01-22,,-1.6,0.1,0.0,0.0,,,,,
21,2015-01-23,,-3.1,-1.0,0.0,0.0,,,,,
22,2015-01-24,,-2.5,2.1,5.6,0.0,,,,,
23,2015-01-25,,-1.1,2.0,2.1,40.0,,,,,
24,2015-01-26,,1.1,5.6,4.0,10.0,,,,,
25,2015-01-27,,0.7,3.9,0.0,0.0,,,,,
26,2015-01-28,,1.0,5.8,5.1,0.0,,,,,
27,2015-01-29,,-0.2,4.1,2.9,0.0,,,,,
28,2015-01-30,,-0.8,1.2,0.8,30.0,,,,,
29,2015-01-31,,-0.5,2.5,0.0,10.0,,,,,
30,2015-02-01,,-0.7,1.7,4.5,0.0,,,,,
31,2015-02-02,,-0.5,0.9,1.2,0.0,,,,,
32,2015-02-03,,-1.1,1.5,0.5,0.0,,,,,
33,2015-02-04,,-3.9,2.3,0.7,0.0,,,,,
34,2015-02-05,,-5.3,-1.5,0.0,10.0,,,,,
35,2015-02-06,,-3.7,0.2,0.0,0.0,,,,,
36,2015-02-07,,-5.7,2.8,0.5,0.0,,,,,
37,2015-02-08,,0.5,3.5,0.0,0.0,,,,,
