,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,5.8,3.6,8.9,2.7,0.0,251.3,31.3,66.6,1015.0,42.0
1,2015-01-03,3.6,2.8,4.9,1.8,0.0,264.2,27.4,64.4,1014.5,0.0
2,2015-01-04,3.3,2.1,4.8,0.4,0.0,305.4,21.2,45.0,1021.9,174.0
3,2015-01-05,4.1,3.2,5.2,0.9,0.0,288.8,16.2,43.6,1026.5,0.0
4,2015-01-06,2.5,0.6,3.4,0.2,0.0,172.5,10.1,36.0,1024.8,0.0
5,2015-01-07,3.0,-0.2,6.2,0.1,0.0,227.9,14.0,29.9,1022.6,60.0
6,2015-01-08,4.1,2.2,5.9,9.7,0.0,222.9,18.0,46.1,1016.8,0.0
7,2015-01-09,6.3,4.9,7.8,7.9,0.0,262.9,30.6,86.8,1007.2,0.0
8,2015-01-10,7.6,1.2,11.9,6.0,0.0,260.8,31.7,78.5,998.5,0.0
9,2015-01-11,2.7,0.4,4.1,6.6,0.0,267.9,29.2,62.6,1004.1,72.0
10,2015-01-12,6.1,3.8,8.3,2.4,0.0,242.1,29.2,55.1,1007.6,0.0
11,2015-01-13,7.7,5.7,9.4,3.8,0.0,223.8,22.0,49.7,1002.9,0.0
12,2015-01-14,3.9,0.4,6.6,5.8,0.0,230.8,19.8,55.1,1005.2,72.0
13,2015-01-15,4.5,0.6,8.7,3.9,0.0,179.6,19.1,47.2,1002.6,0.0
14,2015-01-16,6.2,3.6,8.8,0.0,0.0,206.3,17.3,46.8,1004.0,336.0
15,2015-01-17,2.3,-0.9,4.7,0.0,0.0,223.3,11.2,27.0,1011.2,372.0
16,2015-01-18,0.4,-1.9,2.4,0.0,0.0,179.2,10.1,23.8,1014.9,72.0
17,2015-01-19,0.1,-1.7,1.6,0.1,0.0,137.5,6.8,19.8,1013.8,180.0
18,2015-01-20,0.8,-0.7,1.6,0.8,0.0,192.1,5.4,14.4,1011.9,0.0
19,2015-01-21,-2.0,-3.7,0.1,0.0,0.0,240.4,5.8,16.9,1016.6,0.0
20,2015-01-22,-1.4,-3.8,-0.2,0.0,0.0,99.2,5.4,20.9,1020.8,0.0
21,2015-01-23,-0.7,-2.0,0.8,0.0,0.0,291.7,9.0,29.9,1025.2,42.0
22,2015-01-24,-0.4,-2.2,1.2,0.4,0.0,208.8,15.1,41.8,1019.0,138.0
23,2015-01-25,0.5,-2.3,2.1,0.0,0.0,262.5,9.7,24.5,1023.6,192.0
24,2015-01-26,2.5,0.9,4.4,4.4,0.0,201.3,14.0,45.0,1016.7,0.0
25,2015-01-27,2.8,-0.8,5.4,0.0,0.0,304.6,18.4,40.3,1012.9,180.0
26,2015-01-28,3.0,0.5,5.1,5.4,0.0,212.1,20.5,61.2,1002.7,0.0
27,2015-01-29,1.6,0.4,2.9,0.5,0.0,208.3,22.3,60.1,983.5,12.0
28,2015-01-30,0.6,0.2,1.0,3.6,0.0,219.2,7.9,24.8,973.6,0.0
29,2015-01-31,-0.6,-2.8,1.1,0.0,0.0,274.6,12.2,33.1,978.8,252.0
30,2015-02-01,-0.6,-3.6,1.1,0.0,0.0,245.0,13.0,37.1,987.1,72.0
31,2015-02-02,0.2,-1.2,2.0,0.8,0.0,257.9,16.6,39.2,992.9,42.0
32,2015-02-03,-1.0,-1.9,-0.3,0.9,0.0,298.8,11.5,29.9,1000.1,0.0
33,2015-02-04,-1.4,-2.0,-0.7,1.2,10.0,304.6,7.6,21.2,1011.7,0.0
34,2015-02-05,-1.1,-2.6,0.7,0.0,40.0,147.1,4.7,18.7,1024.8,96.0
35,2015-02-06,-4.4,-9.7,1.9,0.0,20.0,274.6,6.8,18.0,1031.8,444.0
36,2015-02-07,0.9,-4.1,4.6,0.0,20.0,274.2,20.2,67.0,1023.2,0.0
37,2015-02-08,1.9,0.8,3.1,0.5,0.0,326.7,26.6,64.4,1021.0,486.0
38,2015-02-09,5.1,3.1,6.1,0.0,0.0,303.8,18.7,42.8,1018.8,0.0
39,2015-02-10,5.0,2.6,6.5,0.0,0.0,305.0,15.5,37.1,1025.8,0.0
40,2015-02-11,2.1,1.6,2.8,0.0,0.0,253.3,6.8,21.6,1027.6,0.0
41,2015-02-12,0.8,-0.5,2.4,0.0,0.0,179.2,7.2,20.2,1023.4,0.0
42,2015-02-13,-1.1,-2.0,0.1,0.0,0.0,170.4,8.6,19.1,1018.8,0.0
43,2015-02-14,0.9,-2.1,8.1,0.0,0.0,116.7,6.1,28.4,1014.6,528.0
44,2015-02-15,1.6,0.0,4.8,0.0,0.0,78.3,10.1,33.8,1020.3,270.0
45,2015-02-16,0.4,-1.0,2.1,0.0,0.0,120.8,13.3,34.2,1024.3,108.0
46,2015-02-17,0.4,-2.3,3.6,0.0,0.0,195.4,9.4,21.6,1030.7,432.0
47,2015-02-18,3.1,0.8,6.6,0.0,0.0,244.6,15.8,35.6,1036.6,228.0
48,2015-02-19,3.2,-0.1,7.5,0.0,0.0,225.4,18.4,38.9,1025.5,510.0
49,2015-02-20,3.1,-1.3,6.8,3.0,0.0,193.8,15.1,40.7,1010.7,54.0
50,2015-02-21,4.7,1.1,8.1,0.2,0.0,197.1,18.4,65.9,996.0,24.0
51,2015-02-22,2.5,0.3,6.2,0.0,0.0,222.9,14.4,33.5,1006.5,216.0
52,2015-02-23,1.8,0.5,2.9,2.6,0.0,174.2,15.5,49.3,997.2,0.0
53,2015-02-24,3.7,0.6,7.2,0.0,0.0,192.9,14.4,40.0,1003.2,270.0
54,2015-02-25,2.4,-0.7,7.1,0.0,0.0,191.3,8.6,27.7,1016.5,162.0
55,2015-02-26,3.3,-1.5,9.1,0.0,0.0,141.3,10.1,37.1,1019.0,588.0
56,2015-02-27,3.3,0.7,6.9,1.3,0.0,190.4,9.4,26.6,1012.7,174.0
57,2015-02-28,2.5,-0.2,5.9,0.0,0.0,237.9,12.2,30.6,1016.7,276.0
58,2015-03-01,3.3,1.2,7.0,7.0,0.0,190.0,16.6,44.6,1001.7,0.0
59,2015-03-02,3.3,1.1,5.6,3.3,0.0,228.3,21.2,63.4,997.8,156.0
60,2015-03-03,3.1,0.7,6.1,4.3,0.0,242.9,22.7,53.6,1010.8,228.0
61,2015-03-04,2.6,0.4,6.1,1.7,0.0,248.8,19.8,45.7,1017.2,204.0
62,2015-03-05,3.8,1.1,6.9,0.0,0.0,303.3,14.8,41.8,1030.9,66.0
63,2015-03-06,6.1,3.4,9.5,0.0,0.0,254.6,13.7,32.8,1032.2,30.0
64,2015-03-07,8.0,4.2,11.2,0.0,0.0,207.5,16.9,42.5,1028.1,168.0
65,2015-03-08,10.5,4.9,16.9,0.0,0.0,197.9,13.7,34.2,1022.5,558.0
66,2015-03-09,6.1,3.6,10.0,0.0,0.0,240.4,7.9,24.5,1026.0,246.0
67,2015-03-10,6.4,2.7,11.7,0.2,0.0,232.1,11.2,30.6,1024.5,240.0
68,2015-03-11,5.1,1.4,9.0,0.0,0.0,278.3,15.5,36.4,1027.4,192.0
69,2015-03-12,3.3,-0.3,6.6,0.0,0.0,92.5,8.3,24.8,1033.3,150.0
70,2015-03-13,2.5,-2.4,7.7,0.0,0.0,59.6,9.0,32.4,1030.1,174.0
71,2015-03-14,4.4,2.8,6.5,0.1,0.0,52.5,10.1,31.3,1030.0,0.0
72,2015-03-15,5.2,3.4,6.7,0.0,0.0,84.6,10.1,30.2,1032.6,0.0
73,2015-03-16,7.4,4.0,10.3,0.0,0.0,106.3,12.2,29.9,1031.7,558.0
74,2015-03-17,9.6,5.7,13.9,0.0,0.0,118.3,11.2,29.9,1029.6,516.0
75,2015-03-18,8.2,2.4,13.4,0.0,0.0,120.0,9.4,29.9,1028.4,654.0
76,2015-03-19,6.2,-0.1,13.2,0.0,0.0,116.7,4.7,19.8,1028.4,666.0
77,2015-03-20,4.5,-1.9,11.5,0.2,0.0,220.4,7.6,25.9,1022.6,534.0
