,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-03,1.6,0.0,3.0,,,,6.4,,,
1,2015-01-04,0.9,-2.9,4.4,,,,7.5,,1033.7,
2,2015-01-06,-3.3,-7.6,0.8,,,,2.4,,,
3,2015-01-07,1.3,0.0,2.0,,,235.0,9.6,,,
4,2015-01-08,6.4,1.8,9.0,,,239.6,20.7,,,
5,2015-01-09,8.2,6.5,11.4,,,236.3,25.5,,,
6,2015-01-10,11.6,7.7,13.0,,,247.9,33.8,,1017.5,
7,2015-01-11,4.4,2.4,7.3,,,254.2,22.9,,1022.2,
8,2015-01-12,5.6,4.1,7.2,,,232.5,22.8,,,
9,2015-01-13,8.9,4.7,12.6,,,,21.8,,,
10,2015-01-14,5.3,1.8,8.2,,,236.3,18.6,,,
11,2015-01-15,8.2,3.3,10.7,,,,17.2,,1008.5,
12,2015-01-16,4.5,3.0,8.0,,,,8.0,,,
13,2015-01-17,2.8,-3.1,6.0,,,,5.4,,,
14,2015-01-18,-0.4,-4.4,3.7,,,,4.1,,1017.4,
15,2015-01-20,-0.7,-4.6,0.8,,,,2.8,,,
16,2015-01-21,-1.3,-5.8,0.8,,,55.0,10.3,,1012.2,
17,2015-01-22,0.4,0.0,0.9,,,,9.7,,,
18,2015-01-23,0.2,-4.2,2.3,,,,3.1,,,
19,2015-01-24,-1.0,-4.9,1.2,,,,7.3,,,
20,2015-01-25,-0.3,-2.7,1.4,,,,7.4,,1030.6,
21,2015-01-26,1.0,0.0,2.0,,,,8.5,,,
22,2015-01-27,1.0,-3.3,3.4,,,,8.7,,1023.9,
23,2015-01-28,2.9,0.9,4.4,,,225.8,15.3,,1013.9,
24,2015-01-29,2.1,0.6,3.5,,,,14.5,,,
25,2015-01-30,0.9,-1.7,2.6,,,,12.7,,,
26,2015-01-31,0.7,-0.5,2.0,,,,9.2,,,
27,2015-02-01,1.0,0.0,2.3,,,,10.2,,,
28,2015-02-02,0.6,-2.1,2.8,,,256.3,12.8,,1002.2,
29,2015-02-03,-2.6,-6.6,2.2,,,,2.0,,1005.5,
30,2015-02-04,-3.1,-7.1,0.3,,,,5.8,,,
31,2015-02-05,-2.6,-6.5,1.0,,,,17.4,,1018.9,
32,2015-02-06,-1.4,-3.4,2.3,,,37.9,29.5,,1022.4,
33,2015-02-07,-2.8,-6.4,2.0,,,,13.0,,1029.5,
34,2015-02-08,0.7,-5.0,3.3,,,,8.3,,,
35,2015-02-10,2.4,-0.3,4.6,,,,4.5,,1031.4,
36,2015-02-11,2.6,-0.7,5.2,,,60.4,12.7,,,
37,2015-02-12,1.2,-2.0,6.0,,,,4.6,,,
38,2015-02-13,1.0,-2.4,8.8,,,,3.7,,1019.2,
39,2015-02-14,2.1,-4.4,10.7,,,,6.0,,,
40,2015-02-15,-1.6,-3.5,0.0,,,,7.4,,,
41,2015-02-16,1.0,-1.3,2.8,,,,2.8,,1020.5,
42,2015-02-17,1.3,-0.3,3.2,,,,4.6,,,
43,2015-02-18,2.5,0.0,5.0,,,,7.1,,,
44,2015-02-19,0.4,-1.6,1.7,,,,6.7,,,
45,2015-02-20,6.8,-1.1,11.8,,,,12.0,,,
46,2015-02-21,4.3,-1.1,8.7,,,,14.1,,,
47,2015-02-22,2.0,-1.1,6.2,,,,2.5,,1009.9,
48,2015-02-23,2.8,0.0,5.1,,,,10.1,,,
49,2015-02-24,3.8,0.0,6.5,,,,10.3,,,
50,2015-02-25,3.4,-0.4,7.2,,,,5.9,,,
51,2015-02-26,5.8,2.7,9.3,,,,2.9,,,
52,2015-02-27,4.0,1.4,6.1,,,,5.5,,,
53,2015-02-28,1.7,-4.0,7.5,,,,,,,
54,2015-03-02,6.6,2.8,9.3,,,247.9,22.0,,,
55,2015-03-03,5.2,1.3,10.3,,,,16.8,,,
56,2015-03-04,3.4,-0.3,6.9,,,252.1,15.5,,1027.1,
57,2015-03-05,2.4,-1.4,8.0,,,,5.9,,1037.0,
58,2015-03-06,1.9,-4.4,9.8,,,,2.8,,1037.9,
59,2015-03-07,2.2,-4.7,11.9,,,,1.7,,1033.5,
60,2015-03-08,4.2,-5.1,14.1,,,,2.5,,1027.1,
61,2015-03-09,5.5,-3.5,15.6,,,,5.2,,1026.2,
62,2015-03-10,4.3,-2.1,10.6,,,,2.2,,1027.8,
63,2015-03-12,1.6,-6.8,10.7,,,,7.3,,1030.1,
64,2015-03-13,1.5,-3.7,7.4,,,60.4,10.5,,1024.0,
65,2015-03-15,3.3,-2.8,6.1,,,,13.5,,,
66,2015-03-16,3.0,-4.1,12.3,,,,5.5,,1023.2,
67,2015-03-18,7.8,-2.3,18.2,,,,4.6,,1024.6,
68,2015-03-19,6.7,0.8,12.9,,,,6.0,,,
69,2015-03-20,4.9,-2.1,14.8,,,,6.9,,,
70,2015-03-21,2.7,-3.8,8.0,,,,5.0,,,
71,2015-03-22,4.7,0.3,8.2,,,50.8,15.5,,,
72,2015-03-23,3.1,-3.0,9.8,,,,5.5,,1017.4,
73,2015-03-24,5.6,-4.1,15.2,,,,2.7,,,
74,2015-03-25,7.5,2.0,12.6,,,,10.0,,,
75,2015-03-26,6.8,4.8,10.5,,,259.2,14.9,,,
76,2015-03-27,7.1,3.5,10.5,,,259.6,15.9,,1018.6,
77,2015-03-30,8.5,6.0,11.2,,,264.2,25.6,,1006.2,
78,2015-03-31,8.8,4.0,12.0,,,245.0,32.3,,,
79,2015-04-01,4.9,2.8,8.5,,,262.1,28.5,,,
80,2015-04-02,5.5,-1.1,8.9,,,,20.7,,,
81,2015-04-03,3.5,-5.4,10.7,,,,5.6,,1021.5,
82,2015-04-04,4.1,2.3,5.5,,,,6.1,,,
83,2015-04-05,3.1,-3.6,9.8,,,,8.6,,1023.2,
84,2015-04-06,1.6,-5.4,9.2,,,,5.9,,,
85,2015-04-07,3.3,-5.4,12.6,,,,2.2,,1036.2,
86,2015-04-30,9.6,5.5,13.8,,,,10.7,,,
87,2015-05-01,8.7,7.3,10.5,,,,8.1,,,
88,2015-05-02,10.7,6.0,14.8,,,,3.4,,,
89,2015-05-04,18.3,14.0,22.8,,,,10.0,,,
90,2015-05-05,19.4,14.4,23.3,,,,14.6,,,
91,2015-05-06,13.1,6.4,18.0,,,,14.7,,1014.4,
92,2015-05-07,12.2,7.0,16.7,,,227.5,11.8,,1019.2,
93,2015-05-08,13.7,5.4,21.0,,,,5.6,,1015.7,
94,2015-05-09,15.7,12.5,19.5,,,,17.0,,1019.3,
95,2015-05-12,18.5,9.1,26.9,,,,11.8,,,
96,2015-05-13,14.5,4.5,21.1,,,,5.3,,1018.1,
97,2015-05-14,13.3,7.0,18.5,,,,3.7,,1011.9,
98,2015-05-15,13.8,9.4,20.8,,,,10.3,,,
99,2015-05-16,12.1,3.6,17.6,,,,12.7,,,
100,2015-05-17,14.0,8.0,18.9,,,,6.4,,,
101,2015-05-18,13.1,1.8,22.0,,,,8.1,,,
102,2015-05-19,13.5,8.4,16.2,,,,19.8,,1009.0,
103,2015-05-20,10.7,5.9,15.3,,,,11.1,,,
104,2015-05-21,9.2,-0.2,16.6,,,,6.0,,1024.5,
105,2015-05-22,10.8,0.9,18.9,,,,4.3,,1025.6,
106,2015-05-23,14.6,9.8,19.3,,,,6.1,,1019.9,
107,2015-05-24,15.9,11.5,20.5,,,,4.2,,1018.1,
108,2015-05-25,13.4,7.3,18.8,,,,5.7,,1015.0,
109,2015-05-26,11.6,8.4,14.7,,,,7.5,,,
110,2015-05-29,13.3,6.6,17.5,,,,9.2,,1012.6,
111,2015-05-31,13.2,2.2,20.9,,,,9.3,,1015.7,
112,2015-06-01,13.8,11.0,16.8,,,242.9,12.2,,1016.2,
113,2015-06-02,17.0,6.9,24.6,,,,13.6,,1016.5,
114,2015-06-03,18.2,11.7,22.1,,,,13.1,,1021.1,
115,2015-06-04,16.7,5.1,26.2,,,,7.2,,1025.1,
116,2015-06-05,21.6,8.7,33.1,,,,3.9,,1019.3,
117,2015-06-06,22.8,15.9,28.4,,,,9.7,,1020.4,
118,2015-06-07,19.0,11.3,25.0,,,,10.6,,1025.7,
119,2015-06-08,16.9,13.8,21.1,,,,16.6,,1024.2,
120,2015-06-09,14.3,9.8,17.5,,,45.4,17.0,,1024.3,
121,2015-06-10,15.0,7.1,19.8,,,50.8,15.2,,,
122,2015-06-11,17.2,7.8,24.3,,,,11.1,,1018.2,
123,2015-06-12,19.6,10.4,30.1,,,,4.7,,,
124,2015-06-13,19.0,13.4,24.2,,,,10.1,,,
125,2015-06-14,18.5,8.4,26.2,,,,4.8,,1010.4,
126,2015-06-15,18.4,11.8,22.6,,,,11.4,,1014.6,
127,2015-06-16,16.2,10.8,20.6,,,,11.7,,1020.6,
128,2015-06-17,14.4,3.1,22.1,,,,7.0,,1023.3,
129,2015-06-18,16.3,11.3,20.4,,,,11.7,,,
130,2015-06-19,12.9,7.2,16.3,,,,10.0,,1018.6,
131,2015-06-20,13.1,10.7,16.3,,,,6.4,,,
132,2015-06-22,13.0,9.1,16.5,,,,11.6,,,
133,2015-06-23,12.5,8.2,17.9,,,258.8,15.2,,,
134,2015-06-24,13.7,4.0,21.7,,,,4.2,,,
135,2015-06-25,16.3,6.8,24.2,,,,4.0,,,
136,2015-06-26,18.7,8.5,26.6,,,,5.0,,1020.8,
137,2015-06-27,19.8,15.1,24.9,,,,11.2,,,
138,2015-06-28,17.6,8.0,24.7,,,,3.9,,1021.5,
139,2015-06-29,21.0,12.1,29.1,,,,6.6,,1020.2,
140,2015-07-01,23.7,12.3,33.6,,,,6.1,,,
