,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,4.3,2.0,7.0,0.8,0.0,240.4,28.8,60.5,1020.4,6.0
1,2015-01-03,2.9,1.9,4.5,0.1,0.0,251.3,25.9,55.8,1019.0,0.0
2,2015-01-04,2.6,1.2,4.1,0.1,0.0,290.4,22.3,46.4,1023.7,36.0
3,2015-01-05,2.1,1.2,2.6,0.2,0.0,279.6,20.2,51.5,1028.3,0.0
4,2015-01-06,0.9,-0.5,2.0,0.3,0.0,178.8,11.5,33.1,1025.7,0.0
5,2015-01-07,1.7,-0.3,4.8,0.4,0.0,234.2,14.0,29.9,1025.2,18.0
6,2015-01-08,3.0,0.0,6.0,8.7,0.0,222.9,21.2,64.1,1020.5,0.0
7,2015-01-09,5.8,3.5,8.3,9.1,0.0,255.0,32.0,84.2,1012.8,0.0
8,2015-01-10,8.4,3.6,12.4,4.7,0.0,260.4,31.7,75.6,1003.6,0.0
9,2015-01-11,2.1,0.1,3.9,11.2,0.0,264.6,29.5,68.8,1009.6,18.0
10,2015-01-12,4.7,2.1,6.7,0.9,0.0,234.6,26.3,54.4,1013.3,0.0
11,2015-01-13,8.7,6.4,10.8,2.3,0.0,220.8,25.9,66.2,1007.3,234.0
12,2015-01-14,4.8,1.1,6.7,0.5,0.0,232.1,19.8,69.1,1008.6,234.0
13,2015-01-15,4.3,-0.4,8.1,2.3,0.0,196.7,19.1,53.3,1007.0,0.0
14,2015-01-16,6.3,3.7,8.5,3.0,0.0,199.6,13.0,45.4,1006.5,12.0
15,2015-01-17,2.1,-2.1,4.0,0.0,0.0,267.9,10.1,27.0,1013.0,24.0
16,2015-01-18,-0.5,-2.9,2.3,0.0,0.0,203.3,12.6,36.4,1016.6,342.0
17,2015-01-19,-1.2,-4.2,1.0,0.0,0.0,147.9,7.9,20.9,1014.1,0.0
18,2015-01-20,-0.2,-1.2,1.0,2.0,0.0,172.5,6.8,20.9,1011.8,0.0
19,2015-01-21,-1.0,-2.0,0.6,0.0,0.0,208.3,8.6,26.6,1016.1,66.0
20,2015-01-22,-1.3,-1.9,-0.6,0.8,0.0,49.6,18.0,33.1,1018.5,0.0
21,2015-01-23,-1.4,-1.9,-0.9,0.0,0.0,191.3,12.2,27.0,1024.6,0.0
22,2015-01-24,-1.0,-2.0,0.2,0.8,0.0,210.0,12.2,33.8,1020.5,66.0
23,2015-01-25,0.3,-0.8,1.0,0.0,10.0,287.5,11.9,29.9,1025.1,0.0
24,2015-01-26,1.4,0.5,3.1,4.6,0.0,210.0,14.0,40.3,1019.4,0.0
25,2015-01-27,2.3,0.3,3.9,0.1,0.0,286.7,20.2,45.4,1014.7,0.0
26,2015-01-28,2.4,0.3,4.3,3.0,0.0,226.7,20.9,57.2,1006.9,36.0
27,2015-01-29,0.9,-0.4,3.0,5.5,0.0,214.6,19.8,51.8,987.6,120.0
28,2015-01-30,-0.1,-0.7,0.4,6.0,50.0,208.3,11.5,41.8,974.2,0.0
29,2015-01-31,-1.1,-3.8,0.4,1.0,100.0,247.5,14.4,40.3,980.6,198.0
30,2015-02-01,-1.3,-4.1,1.3,0.0,90.0,235.4,11.9,25.6,989.6,408.0
31,2015-02-02,-0.7,-2.5,1.1,0.8,70.0,247.1,17.3,34.9,995.9,18.0
32,2015-02-03,-0.9,-2.7,0.4,1.5,70.0,269.2,13.7,37.4,1001.2,36.0
33,2015-02-04,-2.3,-3.1,-0.9,1.1,100.0,295.8,10.1,22.0,1012.6,60.0
34,2015-02-05,-2.7,-5.2,0.4,0.0,100.0,131.3,11.5,30.6,1023.9,372.0
35,2015-02-06,-4.8,-6.7,-2.8,0.0,90.0,61.7,14.8,32.8,1030.8,24.0
36,2015-02-07,-2.3,-7.1,2.5,1.1,80.0,260.0,19.1,55.8,1026.3,150.0
37,2015-02-08,0.1,-2.3,2.1,0.9,40.0,316.7,22.3,56.5,1021.7,360.0
38,2015-02-09,2.7,-0.6,4.2,0.2,30.0,285.0,20.9,46.1,1020.9,0.0
39,2015-02-10,3.7,3.0,4.3,0.0,0.0,286.7,14.4,32.0,1027.2,0.0
40,2015-02-11,3.2,0.8,4.5,0.0,0.0,230.4,6.8,23.4,1027.9,0.0
41,2015-02-12,-0.1,-1.4,2.2,0.0,0.0,185.0,8.3,22.0,1023.8,132.0
42,2015-02-13,0.8,-2.1,6.9,0.0,0.0,183.8,9.4,23.8,1019.1,366.0
43,2015-02-14,0.3,-3.1,6.2,0.0,0.0,139.2,10.4,20.2,1014.1,522.0
44,2015-02-15,0.6,-3.6,5.1,0.0,0.0,90.0,18.4,39.6,1018.0,198.0
45,2015-02-16,0.2,-2.8,4.3,0.0,0.0,106.7,27.4,52.9,1023.2,372.0
46,2015-02-17,-0.3,-3.9,2.3,0.0,0.0,210.8,11.5,27.4,1031.2,234.0
47,2015-02-18,1.8,-1.2,5.1,0.0,0.0,244.6,11.9,25.2,1038.8,336.0
48,2015-02-19,0.9,-2.9,5.9,0.0,0.0,212.9,14.0,40.0,1028.2,534.0
49,2015-02-20,2.7,-3.3,8.5,0.0,0.0,207.5,18.7,52.6,1013.6,282.0
50,2015-02-21,4.4,-0.2,9.0,0.0,0.0,217.9,17.3,56.9,999.1,150.0
51,2015-02-22,1.0,-1.4,4.9,0.0,0.0,238.8,10.1,23.0,1008.7,48.0
52,2015-02-23,0.6,-1.3,2.0,4.3,0.0,195.8,15.8,57.2,1000.2,0.0
53,2015-02-24,2.6,0.4,5.5,0.0,0.0,217.5,15.5,43.9,1006.2,102.0
54,2015-02-25,2.3,-1.0,7.6,0.0,0.0,221.3,10.1,31.3,1018.1,378.0
55,2015-02-26,2.8,-1.8,8.9,0.0,0.0,168.8,10.8,27.0,1020.4,576.0
56,2015-02-27,3.3,-1.9,10.0,0.1,0.0,206.3,11.2,31.0,1013.5,492.0
57,2015-02-28,2.2,-0.6,6.3,0.0,0.0,245.4,13.3,31.7,1018.6,396.0
58,2015-03-01,3.4,0.4,7.0,3.9,0.0,203.3,17.6,46.8,1005.1,6.0
59,2015-03-02,4.2,0.2,6.9,0.3,0.0,239.6,22.0,63.4,1001.6,174.0
60,2015-03-03,3.4,1.0,6.9,2.7,0.0,245.4,23.8,55.4,1014.5,216.0
61,2015-03-04,2.3,-0.2,4.5,1.2,0.0,252.5,20.9,49.3,1020.4,180.0
62,2015-03-05,2.8,1.0,5.6,0.9,0.0,295.4,14.4,34.6,1032.1,60.0
63,2015-03-06,4.1,0.9,6.1,0.0,0.0,247.9,13.3,29.5,1034.5,0.0
64,2015-03-07,6.5,1.2,11.0,0.0,0.0,212.9,15.5,40.3,1031.2,456.0
65,2015-03-08,10.1,4.9,15.7,0.0,0.0,200.4,14.0,31.7,1025.0,492.0
66,2015-03-09,8.3,4.1,13.3,0.0,0.0,223.8,9.0,27.4,1026.2,306.0
67,2015-03-10,5.8,2.4,10.1,1.0,0.0,252.5,11.9,25.9,1025.7,120.0
68,2015-03-11,3.9,1.4,7.2,0.0,0.0,305.0,13.3,36.4,1028.1,60.0
69,2015-03-12,1.8,0.3,3.5,0.0,0.0,92.5,12.2,29.9,1032.1,0.0
70,2015-03-13,1.2,-2.3,4.8,0.1,0.0,135.4,11.2,28.1,1028.4,72.0
71,2015-03-14,2.5,0.7,4.0,2.1,0.0,94.6,14.4,33.5,1028.0,0.0
72,2015-03-15,4.1,2.9,5.8,0.6,0.0,83.8,23.0,40.7,1030.1,0.0
73,2015-03-16,7.8,3.1,12.2,0.0,0.0,104.6,28.1,64.1,1029.1,336.0
74,2015-03-17,9.2,3.7,15.9,0.0,0.0,119.2,19.4,41.8,1028.3,486.0
75,2015-03-18,6.9,2.1,13.6,0.0,0.0,110.8,17.3,34.2,1027.4,660.0
76,2015-03-19,5.5,-0.1,12.1,0.0,0.0,98.3,13.3,27.0,1027.4,660.0
77,2015-03-20,6.9,0.7,11.5,0.0,0.0,228.3,8.6,22.3,1023.2,660.0
78,2015-03-21,1.8,0.3,3.2,2.1,0.0,237.9,11.9,41.4,1016.6,0.0
79,2015-03-22,0.3,-2.4,4.3,0.0,0.0,70.8,17.3,46.1,1026.7,666.0
80,2015-03-23,3.5,-3.6,10.2,0.0,0.0,196.7,9.0,27.0,1017.3,498.0
81,2015-03-24,6.8,3.0,10.9,0.0,0.0,222.9,9.0,20.5,1009.2,114.0
82,2015-03-25,9.2,2.4,15.4,0.0,0.0,137.5,13.7,33.1,1007.4,582.0
83,2015-03-26,6.2,3.5,8.7,0.1,0.0,242.1,11.5,35.3,1006.6,0.0
84,2015-03-27,5.9,3.8,11.2,0.9,0.0,242.5,16.9,48.6,1013.1,144.0
85,2015-03-28,6.2,3.7,10.2,0.7,0.0,240.4,14.0,33.8,1017.9,210.0
86,2015-03-29,8.5,6.2,11.0,9.8,0.0,,20.9,81.0,998.2,0.0
87,2015-03-30,5.1,1.8,7.5,7.1,0.0,270.0,33.1,79.2,996.6,204.0
88,2015-03-31,4.7,0.1,10.3,3.5,10.0,241.7,33.1,108.0,993.4,108.0
89,2015-04-01,2.4,0.3,5.9,7.5,0.0,275.0,28.1,65.9,1007.6,36.0
90,2015-04-02,2.1,-0.1,5.8,0.6,10.0,274.6,20.9,57.6,1009.0,210.0
91,2015-04-03,3.0,0.9,7.7,0.9,0.0,275.4,15.8,41.4,1017.8,126.0
92,2015-04-04,2.7,-0.9,8.0,0.7,0.0,301.7,12.2,41.8,1017.1,468.0
93,2015-04-05,3.5,-1.6,9.2,0.0,0.0,334.2,11.5,32.0,1022.9,588.0
94,2015-04-06,4.1,-0.3,8.5,0.0,0.0,161.7,14.8,39.2,1028.4,438.0
95,2015-04-07,6.3,-0.6,11.8,0.0,0.0,228.3,15.1,46.1,1033.0,444.0
96,2015-04-08,7.2,5.8,8.8,0.0,0.0,302.1,13.0,36.0,1031.3,0.0
97,2015-04-09,10.0,6.3,15.9,0.0,0.0,176.3,7.2,26.3,1028.9,486.0
98,2015-04-10,13.1,6.2,20.0,0.0,0.0,158.8,8.6,27.4,1022.0,540.0
99,2015-04-11,13.8,7.0,20.8,0.1,0.0,215.0,18.0,59.4,1018.0,468.0
100,2015-04-12,9.1,4.2,14.1,0.0,0.0,240.0,15.5,43.6,1027.0,618.0
101,2015-04-13,8.5,4.0,11.9,0.0,0.0,273.3,21.6,67.7,1026.1,312.0
102,2015-04-14,9.5,1.0,15.5,0.0,0.0,253.3,15.5,43.9,1024.7,426.0
103,2015-04-15,15.3,8.5,22.3,0.0,0.0,264.2,21.2,55.1,1014.9,654.0
104,2015-04-16,9.7,5.4,14.2,0.0,0.0,321.3,13.0,32.4,1014.1,438.0
105,2015-04-17,6.5,2.9,10.7,0.0,0.0,307.9,13.3,38.5,1016.3,300.0
106,2015-04-18,5.8,0.1,11.7,0.0,0.0,297.9,11.5,33.1,1024.5,486.0
107,2015-04-19,9.0,2.6,14.6,0.0,0.0,227.1,9.4,25.9,1023.1,738.0
108,2015-04-20,10.8,4.3,17.9,0.0,0.0,280.8,15.1,40.7,1025.1,738.0
109,2015-04-21,13.1,5.0,20.3,0.0,0.0,280.4,19.4,51.5,1025.8,792.0
110,2015-04-22,7.1,4.6,11.7,0.8,0.0,277.5,10.1,38.5,1025.2,204.0
111,2015-04-23,10.7,4.0,17.4,0.0,0.0,260.8,12.2,28.8,1018.5,792.0
112,2015-04-24,13.4,6.2,20.4,0.0,,245.8,12.2,39.6,1012.9,696.0
113,2015-04-25,14.6,8.5,21.7,0.0,,222.1,13.7,47.5,1008.3,354.0
114,2015-04-26,12.8,8.8,17.4,9.4,,218.8,9.7,55.1,1007.0,336.0
115,2015-04-27,8.9,4.1,12.6,3.0,0.0,240.8,13.0,39.6,1004.6,0.0
116,2015-04-28,6.5,2.8,10.9,0.9,0.0,295.4,13.3,46.1,1013.3,204.0
117,2015-04-29,7.7,0.9,13.9,0.0,0.0,206.3,11.9,31.0,1019.7,744.0
118,2015-04-30,9.6,5.7,16.5,7.9,0.0,203.3,13.0,61.2,1012.7,300.0
119,2015-05-01,8.3,4.1,12.8,0.0,,267.1,13.3,38.5,1008.3,690.0
120,2015-05-02,8.5,2.8,14.3,0.0,,260.8,10.1,29.9,1012.0,444.0
121,2015-05-03,12.6,4.4,18.8,4.8,,126.7,15.8,47.2,1008.6,402.0
122,2015-05-04,16.3,12.5,21.6,0.0,,223.3,14.4,42.1,1008.2,648.0
