,Unnamed: 0,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun,name,km^2,bev,m,w,dichte,plz,longitude,latitude,reiseGebiete,verstädterung
0,0,2015-01-02,,,,2.1,,,,,,,,,,,,,,,,,
1,1,2015-01-03,,,,0.0,,,,,,,,,,,,,,,,,
2,2,2015-01-04,,,,0.6,,,,,,,,,,,,,,,,,
3,3,2015-01-05,,,,7.6,,,,,,,,,,,,,,,,,
4,4,2015-01-06,,,,0.0,,,,,,,,,,,,,,,,,
5,5,2015-01-07,,,,1.4,,,,,,,,,,,,,,,,,
6,6,2015-01-08,,,,7.3,,,,,,,,,,,,,,,,,
7,7,2015-01-09,,,,10.9,,,,,,,,,,,,,,,,,
8,8,2015-01-10,,,,6.5,,,,,,,,,,,,,,,,,
9,9,2015-01-11,,,,1.3,,,,,,,,,,,,,,,,,
10,10,2015-01-12,,,,7.6,,,,,,,,,,,,,,,,,
11,11,2015-01-13,,,,0.0,,,,,,,,,,,,,,,,,
12,12,2015-01-14,,,,2.0,,,,,,,,,,,,,,,,,
13,13,2015-01-15,,,,0.7,,,,,,,,,,,,,,,,,
14,14,2015-01-16,,,,0.0,,,,,,,,,,,,,,,,,
15,15,2015-01-17,,,,2.1,,,,,,,,,,,,,,,,,
16,16,2015-01-18,,,,0.0,,,,,,,,,,,,,,,,,
17,17,2015-01-19,,,,0.0,,,,,,,,,,,,,,,,,
18,18,2015-01-20,,,,2.6,,,,,,,,,,,,,,,,,
19,19,2015-01-21,,,,0.3,,,,,,,,,,,,,,,,,
20,20,2015-01-22,,,,1.0,,,,,,,,,,,,,,,,,
21,21,2015-01-23,,,,5.1,,,,,,,,,,,,,,,,,
22,22,2015-01-24,,,,0.0,,,,,,,,,,,,,,,,,
23,23,2015-01-25,,,,0.0,,,,,,,,,,,,,,,,,
24,24,2015-01-26,,,,2.1,,,,,,,,,,,,,,,,,
25,25,2015-01-27,,,,4.7,,,,,,,,,,,,,,,,,
26,26,2015-01-28,,,,1.5,,,,,,,,,,,,,,,,,
27,27,2015-01-29,,,,3.6,,,,,,,,,,,,,,,,,
28,28,2015-01-30,,,,1.0,,,,,,,,,,,,,,,,,
29,29,2015-01-31,,,,1.3,,,,,,,,,,,,,,,,,
30,30,2015-02-01,,,,0.9,,,,,,,,,,,,,,,,,
31,31,2015-02-02,,,,0.0,,,,,,,,,,,,,,,,,
32,32,2015-02-03,,,,3.2,,,,,,,,,,,,,,,,,
33,33,2015-02-04,,,,0.7,,,,,,,,,,,,,,,,,
34,34,2015-02-05,,,,0.0,,,,,,,,,,,,,,,,,
35,35,2015-02-06,,,,0.0,,,,,,,,,,,,,,,,,
36,36,2015-02-07,,,,0.0,,,,,,,,,,,,,,,,,
37,37,2015-02-08,,,,0.6,,,,,,,,,,,,,,,,,
38,38,2015-02-09,,,,0.2,,,,,,,,,,,,,,,,,
39,39,2015-02-10,,,,0.0,,,,,,,,,,,,,,,,,
40,40,2015-02-11,,,,0.0,,,,,,,,,,,,,,,,,
41,41,2015-02-12,,,,0.0,,,,,,,,,,,,,,,,,
42,42,2015-02-13,,,,0.0,,,,,,,,,,,,,,,,,
43,43,2015-02-14,,,,0.0,,,,,,,,,,,,,,,,,
44,44,2015-02-15,,,,0.0,,,,,,,,,,,,,,,,,
45,45,2015-02-16,,,,0.0,,,,,,,,,,,,,,,,,
46,46,2015-02-17,,,,0.0,,,,,,,,,,,,,,,,,
47,47,2015-02-18,,,,0.0,,,,,,,,,,,,,,,,,
48,48,2015-02-19,,,,0.0,,,,,,,,,,,,,,,,,
49,49,2015-02-20,,,,0.0,,,,,,,,,,,,,,,,,
50,50,2015-02-21,,,,0.0,,,,,,,,,,,,,,,,,
51,51,2015-02-22,,,,0.0,,,,,,,,,,,,,,,,,
52,52,2015-02-23,,,,1.9,,,,,,,,,,,,,,,,,
53,53,2015-02-24,,,,0.0,,,,,,,,,,,,,,,,,
54,54,2015-02-25,,,,0.0,,,,,,,,,,,,,,,,,
55,55,2015-02-26,,,,0.0,,,,,,,,,,,,,,,,,
56,56,2015-02-27,,,,0.0,,,,,,,,,,,,,,,,,
57,57,2015-02-28,,,,0.0,,,,,,,,,,,,,,,,,
58,58,2015-03-01,,,,1.1,,,,,,,,,,,,,,,,,
59,59,2015-03-02,,,,1.2,,,,,,,,,,,,,,,,,
60,60,2015-03-03,,,,2.1,,,,,,,,,,,,,,,,,
61,61,2015-03-04,,,,1.9,,,,,,,,,,,,,,,,,
62,62,2015-03-05,,,,0.5,,,,,,,,,,,,,,,,,
63,63,2015-03-06,,,,0.0,,,,,,,,,,,,,,,,,
64,64,2015-03-07,,,,0.0,,,,,,,,,,,,,,,,,
65,65,2015-03-08,,,,0.0,,,,,,,,,,,,,,,,,
66,66,2015-03-09,,,,0.0,,,,,,,,,,,,,,,,,
67,67,2015-03-10,,,,1.1,,,,,,,,,,,,,,,,,
68,68,2015-03-11,,,,0.0,,,,,,,,,,,,,,,,,
69,69,2015-03-12,,,,0.2,,,,,,,,,,,,,,,,,
70,70,2015-03-13,,,,0.3,,,,,,,,,,,,,,,,,
