,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun,name,km^2,bev,m,w,dichte,plz,longitude,latitude,reiseGebiete,verstädterung
0,2015-01-02,6.4,4.6,9.3,1.7,0.0,250.8,37.8,81.4,1013.7,36.0,,,,,,,,,,,
1,2015-01-03,4.4,2.5,5.8,2.2,0.0,259.2,28.8,66.2,1014.2,0.0,,,,,,,,,,,
2,2015-01-04,3.6,1.6,5.5,0.0,0.0,287.5,19.1,42.8,1023.5,366.0,,,,,,,,,,,
3,2015-01-05,4.7,3.5,5.6,0.0,0.0,257.5,14.0,40.3,1027.0,0.0,,,,,,,,,,,
4,2015-01-06,2.9,1.7,3.7,0.1,0.0,173.8,12.6,36.0,1023.3,0.0,,,,,,,,,,,
5,2015-01-07,4.2,1.6,6.3,0.2,0.0,225.4,16.9,41.0,1021.3,192.0,,,,,,,,,,,
6,2015-01-08,5.0,2.9,7.0,4.8,0.0,227.1,23.0,48.6,1015.0,0.0,,,,,,,,,,,
7,2015-01-09,6.6,4.8,8.5,9.6,0.0,251.7,37.1,93.2,1006.0,12.0,,,,,,,,,,,
8,2015-01-10,7.8,2.3,12.4,7.4,0.0,255.8,40.7,105.5,997.6,0.0,,,,,,,,,,,
9,2015-01-11,3.9,1.5,5.9,10.1,0.0,270.4,31.0,79.6,1003.6,30.0,,,,,,,,,,,
10,2015-01-12,6.9,5.6,8.5,13.3,0.0,238.8,32.8,60.5,1005.3,0.0,,,,,,,,,,,
11,2015-01-13,6.6,4.0,9.5,11.6,0.0,225.8,21.6,58.0,1000.7,0.0,,,,,,,,,,,
12,2015-01-14,3.8,1.3,6.3,0.6,0.0,225.4,21.6,59.8,1003.5,42.0,,,,,,,,,,,
13,2015-01-15,5.0,1.4,8.1,8.4,0.0,187.5,26.6,53.6,998.3,0.0,,,,,,,,,,,
14,2015-01-16,5.5,2.5,7.0,0.0,0.0,212.5,23.0,56.9,1001.7,108.0,,,,,,,,,,,
15,2015-01-17,2.3,0.2,4.9,0.0,0.0,221.3,15.8,40.3,1010.2,348.0,,,,,,,,,,,
16,2015-01-18,1.2,-0.3,2.0,1.6,0.0,195.0,15.1,30.2,1013.1,0.0,,,,,,,,,,,
17,2015-01-19,0.5,-0.9,1.3,0.1,0.0,163.3,8.6,18.7,1012.7,0.0,,,,,,,,,,,
18,2015-01-20,-0.2,-2.0,0.6,1.4,0.0,248.3,5.4,15.5,1012.0,0.0,,,,,,,,,,,
19,2015-01-21,-1.2,-3.9,-0.4,0.0,0.0,176.7,5.8,15.1,1016.4,0.0,,,,,,,,,,,
20,2015-01-22,-2.1,-4.4,0.0,0.0,0.0,213.8,4.7,15.1,1021.5,6.0,,,,,,,,,,,
